elapsed_minutes,temperature_lower_offset,temperature_upper_offset,process_pressure_lower_offset,process_pressure_upper_offset,flow_rate_lower_offset,flow_rate_upper_offset,agitator_rpm_lower_offset,agitator_rpm_upper_offset
39,-1.405,1.205,-0.02,0.02,-0.7,0.7,-1.0,1.0
40,-1.5,1.205,-0.02,0.02,-0.7,0.7,-1.0,1.0
41,-1.5,1.205,-0.02,0.02,-0.7,0.7,-1.0,1.0
42,-1.508,1.205,-0.02,0.02,-0.7,0.7,-1.0,1.0
43,-1.51,1.205,-0.02,0.02,-0.7,0.7,-1.0,1.0
44,-1.605,1.105,-0.02,0.02,-0.7,0.7,-1.0,1.0
45,-1.608,1.103,-0.02,0.02,-0.7,0.7,-1.0,1.0
46,-1.702,1.01,-0.02,0.02,-0.7,0.7,-1.0,1.0
47,-1.707,1.007,-0.02,0.02,-0.7,0.7,-1.0,1.0
48,-1.8,1.002,-0.02,0.02,-0.7,0.7,-2.0,1.0
49,-1.8,1.002,-0.02,0.02,-0.7,0.7,-2.0,1.0
50,-1.8,0.91,-0.02,0.02,-0.7,0.7,-2.0,1.0
51,-1.8,0.91,-0.02,0.02,-0.7,0.7,-2.0,1.0
52,-1.8,0.91,-0.02,0.02,-0.7,0.7,-2.0,0.4
53,-1.8,0.91,-0.02,0.02,-0.7,0.7,-2.0,0.4
54,-1.8,0.91,-0.02,0.02,-0.7,0.7,-1.0,0.4
55,-1.705,0.91,-0.02,0.02,-0.7,0.7,-1.0,0.4
56,-1.705,1.202,-0.02,0.02,-0.7,0.7,-1.0,0.4
57,-1.702,1.302,-0.02,0.02,-0.7,0.7,-1.0,0.4
58,-1.702,1.302,-0.02,0.02,-0.7,0.7,-0.4,0.4
59,-1.6,1.302,-0.02,0.02,-0.7,0.7,-0.4,0.4
60,-1.507,1.302,-0.02,0.02,-0.7,0.7,-0.4,0.4
61,-1.502,1.302,-0.02,0.02,-0.7,0.7,-0.4,0.4
62,-1.407,1.302,-0.02,0.02,-0.7,0.7,-0.4,0.4
63,-1.407,1.208,-0.02,0.02,-0.7,0.7,-0.4,0.4
64,-1.407,1.203,-0.02,0.02,-0.7,0.7,-0.4,0.4
65,-1.405,1.103,-0.02,0.02,-0.7,0.7,-0.4,0.4
66,-1.4,1.103,-0.02,0.02,-0.7,0.7,-1.025,0.4
67,-1.4,1.103,-0.02,0.02,-0.7,0.7,-3.025,0.4
68,-1.4,1.103,-0.02,0.02,-0.7,0.7,-6.0,0.4
69,-1.31,1.1,-0.02,0.02,-0.7,0.7,-10.0,0.4
70,-1.303,1.1,-0.02,0.02,-0.7,0.7,-10.0,0.4
71,-1.302,1.1,-0.02,0.02,-0.7,0.7,-10.0,1.0
72,-1.302,1.1,-0.02,0.02,-0.7,0.7,-10.0,4.0
73,-1.3,1.1,-0.02,0.02,-0.7,0.7,-10.0,6.0
74,-1.3,1.1,-0.02,0.02,-0.7,0.7,-10.0,10.0
75,-1.205,1.015,-0.02,0.02,-0.7,0.7,-8.0,10.0
76,-1.2,1.0,-0.02,0.02,-0.7,0.7,-5.0,10.0
77,-1.108,0.903,-0.02,0.02,-0.7,0.7,-3.0,10.0
78,-1.105,0.903,-0.02,0.02,-0.7,0.7,-2.0,10.0
79,-1.105,0.903,-0.02,0.02,-0.7,0.7,-2.0,10.0
80,-1.002,0.903,-0.02,0.02,-0.7,0.7,-1.0,8.0
81,-0.905,0.903,-0.02,0.02,-0.7,1.042,-1.0,5.0
82,-0.9,0.903,-0.02,0.02,-0.7,3.872,-1.0,3.0
83,-0.9,1.103,-0.02,0.02,-0.7,7.655,-0.4,3.0
84,-0.9,1.3,-0.02,0.031,-0.7,12.14,-0.4,2.0
85,-0.9,1.708,-0.02,0.05,-0.7,16.465,-0.4,1.025
86,-0.905,2.4,-0.02,0.06,-0.7,21.19,-0.4,1.0
87,-0.905,2.712,-0.02,0.071,-1.5,21.19,-0.4,1.0
88,-1.103,3.007,-0.02,0.081,-3.9,21.19,-0.4,0.4
89,-1.108,3.505,-0.02,0.09,-7.2,21.19,-0.4,0.4
90,-1.312,3.507,-0.03,0.09,-11.5,21.19,-0.4,0.4
91,-1.705,4.103,-0.05,0.09,-16.1,21.19,-0.4,0.4
92,-2.007,4.3,-0.06,0.09,-17.31,19.047,-0.4,0.4
93,-2.103,4.305,-0.07,0.09,-17.31,16.027,-0.4,0.4
94,-2.302,4.412,-0.08,0.09,-17.31,13.21,-0.4,0.4
95,-2.318,4.432,-0.08,0.08,-17.31,10.6,-0.4,0.4
96,-2.41,4.505,-0.08,0.07,-17.31,8.705,-0.4,0.4
97,-2.902,4.505,-0.08,0.07,-17.31,7.41,-0.4,0.4
98,-3.1,4.61,-0.08,0.07,-13.615,5.715,-0.4,0.4
99,-3.12,4.617,-0.08,0.06,-10.82,4.812,-0.4,0.4
100,-3.123,4.707,-0.07,0.05,-8.435,4.105,-0.4,0.4
101,-3.125,4.707,-0.07,0.05,-7.22,3.105,-0.4,0.4
102,-3.128,4.717,-0.07,0.05,-5.907,2.9,-0.4,0.4
103,-3.205,4.808,-0.06,0.05,-4.71,2.805,-0.4,0.4
104,-3.215,4.717,-0.05,0.04,-3.815,2.715,-0.4,0.4
105,-3.22,4.707,-0.05,0.04,-3.012,2.607,-0.4,0.4
106,-3.23,4.61,-0.05,0.04,-2.715,2.502,-0.4,0.4
107,-3.508,4.542,-0.05,0.04,-2.407,2.407,-0.4,0.4
108,-3.508,4.707,-0.05,0.04,-2.005,2.21,-0.4,0.4
109,-3.52,4.707,-0.05,0.04,-2.005,2.203,-0.4,0.4
110,-3.618,4.707,-0.05,0.04,-2.005,2.015,-0.4,0.4
111,-3.618,4.812,-0.05,0.04,-2.005,1.902,-0.4,0.4
112,-3.618,4.903,-0.05,0.04,-2.005,1.812,-0.4,0.4
113,-3.71,4.903,-0.05,0.04,-2.005,1.81,-0.4,0.4
114,-3.71,4.903,-0.05,0.04,-2.005,1.81,-0.4,0.4
115,-3.618,4.91,-0.05,0.04,-2.005,1.807,-0.4,0.4
116,-3.605,4.91,-0.05,0.04,-2.002,1.805,-0.4,0.4
117,-3.52,4.91,-0.05,0.04,-1.912,1.803,-0.4,0.4
118,-3.415,4.91,-0.05,0.04,-1.912,1.803,-0.4,0.4
119,-3.405,4.903,-0.05,0.04,-1.912,1.807,-0.4,0.4
120,-3.322,4.832,-0.05,0.04,-1.902,1.807,-0.4,0.4
121,-3.303,4.832,-0.05,0.04,-1.902,1.808,-0.4,0.4
122,-3.107,4.527,-0.05,0.04,-1.9,1.808,-0.4,0.4
123,-3.105,4.415,-0.05,0.04,-1.9,1.808,-0.4,0.4
124,-3.005,4.215,-0.04,0.04,-1.9,1.808,-0.4,0.4
125,-3.0,3.71,-0.04,0.04,-1.9,1.803,-0.4,0.4
126,-2.902,3.405,-0.04,0.04,-1.902,1.808,-0.4,0.4
127,-2.902,2.702,-0.04,0.04,-1.912,1.9,-0.4,0.4
128,-2.9,2.615,-0.04,0.04,-1.925,1.9,-0.4,0.4
129,-2.703,2.505,-0.04,0.04,-2.017,1.808,-0.4,0.4
130,-2.305,1.905,-0.04,0.04,-2.017,1.9,-0.4,0.4
131,-1.905,1.603,-0.04,0.04,-2.017,1.9,-0.4,0.4
132,-1.9,1.6,-0.04,0.04,-2.018,1.8,-0.4,0.4
133,-1.21,1.6,-0.04,0.04,-2.018,1.705,-0.4,0.4
134,-1.205,1.4,-0.04,0.04,-2.2,1.705,-0.4,0.4
135,-1.1,1.305,-0.04,0.04,-2.2,1.607,-0.4,0.4
136,-1.005,1.3,-0.05,0.04,-2.2,1.607,-0.4,0.4
137,-1.0,1.3,-0.05,0.04,-2.017,1.6,-0.4,0.4
138,-1.0,1.203,-0.05,0.04,-2.005,1.6,-0.4,0.4
139,-1.0,1.203,-0.041,0.04,-1.91,1.51,-0.4,0.4
140,-1.0,1.203,-0.05,0.04,-1.91,1.51,-0.4,0.4
141,-1.0,1.2,-0.05,0.04,-1.91,1.51,-0.4,0.4
142,-1.005,1.2,-0.05,0.04,-1.91,1.6,-0.4,0.4
143,-1.005,1.103,-0.05,0.04,-1.902,1.607,-0.4,0.4
144,-1.005,1.103,-0.05,0.04,-1.81,1.61,-0.4,0.4
145,-1.005,1.105,-0.041,0.05,-1.808,1.61,-0.4,0.4
146,-1.005,1.103,-0.041,0.05,-1.805,1.7,-0.4,0.4
147,-1.005,1.103,-0.041,0.05,-1.805,1.703,-0.4,0.4
148,-1.005,1.103,-0.041,0.05,-1.805,1.805,-0.4,0.4
149,-1.005,1.103,-0.041,0.05,-1.805,1.805,-0.4,0.4
150,-0.903,1.01,-0.04,0.06,-1.805,1.815,-0.4,0.4
151,-0.903,1.002,-0.04,0.06,-1.805,1.815,-0.4,0.4
152,-0.903,1.01,-0.04,0.06,-1.805,1.815,-0.4,0.4
153,-0.903,1.002,-0.04,0.06,-2.2,1.815,-0.4,0.4
154,-0.903,1.002,-0.04,0.06,-2.2,1.815,-0.4,0.4
155,-0.903,1.002,-0.04,0.05,-2.2,1.703,-0.4,0.4
156,-0.903,1.002,-0.04,0.05,-2.2,1.702,-0.4,0.4
157,-0.903,1.002,-0.04,0.05,-2.2,1.6,-0.4,0.4
158,-1.1,1.002,-0.04,0.05,-2.2,1.6,-0.4,0.4
159,-1.103,1.002,-0.04,0.05,-2.005,1.6,-0.4,0.4
160,-1.108,1.002,-0.04,0.05,-1.905,1.512,-0.4,0.4
161,-1.2,1.002,-0.04,0.05,-1.905,1.505,-0.4,0.4
162,-1.202,1.002,-0.04,0.05,-1.805,1.505,-0.4,0.4
163,-1.302,1.002,-0.04,0.05,-1.8,1.505,-0.4,0.4
164,-1.302,1.002,-0.04,0.05,-1.8,1.51,-0.4,0.4
165,-1.205,1.002,-0.04,0.05,-1.608,1.6,-0.4,0.4
166,-1.205,1.002,-0.04,0.05,-1.608,1.6,-0.4,0.4
167,-1.205,1.002,-0.04,0.05,-1.608,1.607,-0.4,0.4
168,-1.205,1.0,-0.05,0.05,-1.608,1.702,-0.4,0.4
169,-1.205,0.917,-0.05,0.05,-1.608,1.912,-0.4,0.4
170,-1.203,1.0,-0.05,0.05,-1.608,1.912,-0.4,0.4
171,-1.002,1.0,-0.05,0.04,-1.603,1.912,-0.4,0.4
172,-1.0,1.0,-0.05,0.04,-1.603,1.912,-0.4,0.4
173,-0.902,1.002,-0.05,0.04,-1.608,1.912,-0.4,0.4
174,-0.902,1.002,-0.05,0.04,-1.608,1.912,-0.4,0.4
175,-0.902,1.002,-0.05,0.04,-1.608,1.903,-0.4,0.4
176,-0.902,1.002,-0.05,0.04,-1.7,1.902,-0.4,0.4
177,-0.902,1.002,-0.05,0.04,-1.7,1.902,-0.4,0.4
178,-0.9,1.002,-0.05,0.04,-1.702,1.705,-0.4,0.4
179,-0.803,1.1,-0.05,0.04,-1.702,1.703,-0.4,0.4
180,-0.802,1.1,-0.05,0.04,-1.703,1.702,-0.4,0.4
181,-0.802,1.103,-0.05,0.04,-1.708,1.702,-0.4,0.4
182,-0.802,1.103,-0.05,0.04,-1.72,1.702,-0.4,0.4
183,-0.802,1.103,-0.05,0.03,-1.815,1.705,-0.4,0.4
184,-0.802,1.103,-0.05,0.03,-1.902,1.705,-0.4,0.4
185,-0.802,1.103,-0.05,0.03,-1.902,1.705,-0.4,0.4
186,-0.802,1.103,-0.05,0.03,-1.902,1.702,-0.4,0.4
187,-0.8,1.103,-0.05,0.03,-1.902,1.6,-0.4,0.4
188,-0.8,1.103,-0.05,0.03,-1.902,1.507,-0.4,0.4
189,-0.8,1.103,-0.05,0.03,-1.902,1.6,-0.4,0.4
190,-0.802,1.0,-0.05,0.03,-1.902,1.707,-0.4,0.4
191,-0.802,1.0,-0.05,0.03,-1.902,1.708,-0.4,0.4
192,-0.805,1.0,-0.05,0.04,-1.903,1.708,-0.4,0.4
193,-0.805,1.0,-0.05,0.04,-1.903,1.708,-0.4,0.4
194,-0.805,1.0,-0.05,0.04,-1.903,1.708,-0.4,0.4
195,-0.805,1.002,-0.05,0.04,-1.803,1.902,-0.4,0.4
196,-0.9,1.002,-0.05,0.04,-1.803,1.905,-0.4,0.4
197,-0.902,1.002,-0.05,0.04,-1.803,1.907,-0.4,0.4
198,-1.0,1.0,-0.04,0.04,-1.8,1.917,-0.4,0.4
199,-1.002,1.0,-0.04,0.04,-1.71,1.917,-0.4,0.4
200,-1.005,1.002,-0.04,0.04,-1.71,1.92,-0.4,0.4
201,-1.007,1.002,-0.04,0.04,-1.8,2.002,-0.4,0.4
202,-1.01,1.002,-0.04,0.04,-1.71,2.012,-0.4,0.4
203,-1.1,1.005,-0.04,0.04,-1.71,2.012,-0.4,0.4
204,-1.105,1.005,-0.04,0.04,-1.71,2.012,-0.4,0.4
205,-1.105,1.002,-0.04,0.04,-1.71,2.1,-0.4,0.4
206,-1.105,1.002,-0.04,0.04,-1.71,2.1,-0.4,0.4
207,-1.105,1.005,-0.04,0.04,-1.71,2.103,-0.4,0.4
208,-1.105,1.1,-0.05,0.04,-1.71,2.107,-0.4,0.4
209,-1.105,1.1,-0.05,0.04,-1.71,2.107,-0.4,0.4
210,-1.1,1.1,-0.05,0.04,-1.815,2.107,-0.4,0.4
211,-1.0,1.1,-0.05,0.04,-1.815,2.107,-0.4,0.4
212,-1.0,1.1,-0.05,0.04,-1.902,2.103,-0.4,0.4
213,-1.0,1.1,-0.05,0.04,-1.902,2.1,-0.4,0.4
214,-1.0,1.1,-0.05,0.04,-1.902,2.01,-0.4,0.4
215,-1.0,1.1,-0.05,0.04,-1.902,2.01,-0.4,0.4
216,-1.0,1.202,-0.05,0.04,-1.902,2.007,-0.4,0.4
217,-0.902,1.202,-0.05,0.04,-1.902,2.007,-0.4,0.4
218,-0.902,1.1,-0.05,0.04,-1.92,2.007,-0.4,0.4
219,-0.9,1.1,-0.05,0.04,-2.002,2.002,-0.4,0.4
220,-1.0,1.1,-0.05,0.04,-2.007,2.007,-0.4,0.4
221,-0.903,1.1,-0.05,0.04,-2.007,2.007,-0.4,0.4
222,-0.903,1.007,-0.05,0.04,-2.007,2.007,-0.4,0.4
223,-0.803,1.005,-0.05,0.04,-2.002,2.007,-0.4,0.4
224,-0.803,1.002,-0.05,0.04,-1.92,2.002,-0.4,0.4
225,-0.803,1.002,-0.05,0.04,-1.907,2.002,-0.4,0.4
226,-0.803,1.002,-0.05,0.04,-1.802,1.907,-0.4,0.4
227,-0.903,1.002,-0.05,0.04,-1.802,1.907,-0.4,0.4
228,-0.903,1.002,-0.05,0.04,-1.902,1.907,-0.4,0.4
229,-0.903,1.0,-0.05,0.05,-1.902,1.907,-0.4,0.4
230,-0.903,1.0,-0.05,0.05,-1.902,1.907,-0.4,0.4
231,-0.903,1.002,-0.05,0.05,-1.802,1.907,-0.4,0.4
232,-0.9,1.002,-0.05,0.05,-1.703,1.91,-0.4,0.4
233,-0.9,1.002,-0.04,0.05,-1.802,1.91,-0.4,0.4
234,-0.9,1.007,-0.04,0.05,-1.81,1.91,-0.4,0.4
235,-0.9,1.102,-0.05,0.05,-1.81,1.91,-0.4,0.4
236,-0.9,1.102,-0.04,0.05,-1.812,2.0,-0.4,0.4
237,-0.9,1.007,-0.04,0.05,-1.812,2.01,-0.4,0.4
238,-0.9,1.002,-0.04,0.05,-1.81,2.0,-0.4,0.4
239,-0.9,1.002,-0.04,0.05,-1.81,2.0,-0.4,0.4
240,-0.903,1.002,-0.04,0.05,-1.8,2.0,-0.4,0.4
241,-0.905,1.007,-0.04,0.05,-1.8,1.907,-0.4,0.4
242,-0.905,1.007,-0.04,0.05,-1.8,1.907,-0.4,0.4
243,-1.1,1.007,-0.04,0.05,-1.8,1.903,-0.4,0.4
244,-1.103,1.005,-0.04,0.05,-1.703,1.903,-0.4,0.4
245,-1.103,1.002,-0.04,0.05,-1.607,1.9,-0.4,0.4
246,-1.103,1.002,-0.04,0.05,-1.605,1.903,-0.4,0.4
247,-1.103,1.002,-0.04,0.05,-1.507,1.903,-0.4,0.4
248,-1.103,1.0,-0.04,0.05,-1.6,1.9,-0.4,0.4
249,-1.1,1.0,-0.04,0.05,-1.507,1.8,-0.4,0.4
250,-0.905,1.002,-0.04,0.05,-1.505,1.8,-0.4,0.4
251,-0.903,1.0,-0.04,0.05,-1.505,1.9,-0.4,0.4
252,-0.9,1.0,-0.04,0.05,-1.502,1.9,-0.4,0.4
253,-0.9,1.0,-0.04,0.05,-1.41,1.7,-0.4,0.4
254,-0.9,1.0,-0.04,0.05,-1.407,1.7,-0.4,0.4
255,-0.9,1.002,-0.04,0.05,-1.41,1.7,-0.4,0.4
256,-0.9,1.005,-0.04,0.05,-1.41,1.7,-0.4,0.4
257,-0.903,1.005,-0.04,0.05,-1.41,1.7,-0.4,0.4
258,-0.9,1.005,-0.04,0.05,-1.505,1.61,-0.4,0.4
259,-0.91,1.015,-0.04,0.05,-1.505,1.61,-0.4,0.4
260,-0.91,1.1,-0.04,0.05,-1.605,1.61,-0.4,0.4
261,-1.002,1.2,-0.041,0.05,-1.7,1.61,-0.4,0.4
262,-1.002,1.203,-0.05,0.05,-1.702,1.61,-0.4,0.4
263,-1.002,1.203,-0.05,0.04,-1.703,1.61,-0.4,0.4
264,-0.91,1.203,-0.05,0.04,-1.905,1.61,-0.4,0.4
265,-0.905,1.203,-0.05,0.04,-1.905,1.71,-0.4,0.4
266,-0.903,1.2,-0.05,0.04,-1.905,1.71,-0.4,0.4
267,-0.903,1.102,-0.05,0.04,-1.71,1.712,-0.4,0.4
268,-0.903,1.1,-0.05,0.05,-1.905,1.712,-0.4,0.4
269,-0.905,1.1,-0.05,0.04,-1.905,1.712,-0.4,0.4
270,-0.905,1.1,-0.05,0.04,-1.71,1.72,-0.4,0.4
271,-0.905,1.1,-0.05,0.04,-1.802,1.8,-0.4,0.4
272,-0.905,1.002,-0.05,0.04,-1.71,1.805,-0.4,0.4
273,-0.905,1.002,-0.04,0.04,-1.71,1.905,-0.4,0.4
274,-0.905,1.002,-0.04,0.05,-1.71,1.905,-0.4,0.4
275,-0.905,1.002,-0.04,0.04,-1.71,1.905,-0.4,0.4
276,-0.905,1.002,-0.04,0.05,-1.802,1.905,-0.4,0.4
277,-0.905,1.1,-0.04,0.05,-1.802,1.907,-0.4,0.4
278,-0.908,1.102,-0.04,0.05,-1.802,2.005,-0.4,0.4
279,-0.905,1.103,-0.04,0.04,-1.8,2.005,-0.4,0.4
280,-0.903,1.107,-0.04,0.04,-1.802,2.005,-0.4,0.4
281,-0.9,1.2,-0.04,0.04,-1.802,2.005,-0.4,0.4
282,-0.9,1.2,-0.04,0.05,-1.8,2.005,-0.4,0.4
283,-0.9,1.2,-0.04,0.05,-1.905,2.0,-0.4,0.4
284,-0.9,1.203,-0.04,0.05,-1.808,1.91,-0.4,0.4
285,-0.9,1.203,-0.04,0.05,-1.808,1.907,-0.4,0.4
286,-0.9,1.203,-0.04,0.05,-1.808,1.805,-0.4,0.4
287,-0.805,1.203,-0.04,0.05,-1.808,1.71,-0.4,0.4
288,-0.9,1.2,-0.04,0.05,-1.808,1.705,-0.4,0.4
289,-0.9,1.2,-0.04,0.05,-1.9,1.705,-0.4,0.4
290,-0.9,1.107,-0.04,0.05,-1.902,1.702,-0.4,0.4
291,-0.9,1.105,-0.04,0.05,-1.902,1.7,-0.4,0.4
292,-0.9,1.105,-0.04,0.05,-1.902,1.617,-0.4,0.4
293,-0.9,1.105,-0.05,0.05,-1.905,1.7,-0.4,0.4
294,-0.9,1.105,-0.05,0.05,-1.922,1.7,-0.4,0.4
295,-0.9,1.105,-0.05,0.05,-1.925,1.7,-0.4,0.4
296,-0.9,1.102,-0.05,0.05,-2.103,1.7,-0.4,0.4
297,-0.9,1.102,-0.05,0.05,-2.103,1.702,-0.4,0.4
298,-0.902,1.1,-0.05,0.05,-2.103,1.702,-0.4,0.4
299,-0.902,1.102,-0.05,0.05,-2.113,1.61,-0.4,0.4
300,-1.0,1.102,-0.05,0.05,-2.205,1.602,-0.4,0.4
301,-1.0,1.102,-0.05,0.04,-2.113,1.602,-0.4,0.4
302,-1.1,1.112,-0.05,0.04,-1.927,1.61,-0.4,0.4
303,-1.103,1.112,-0.05,0.04,-2.205,1.61,-0.4,0.4
304,-1.103,1.112,-0.041,0.04,-2.22,1.61,-0.4,0.4
305,-1.205,1.112,-0.041,0.04,-2.31,1.61,-0.4,0.4
306,-1.302,1.102,-0.04,0.04,-2.31,1.61,-0.4,0.4
307,-1.302,1.102,-0.04,0.04,-2.205,1.71,-0.4,0.4
308,-1.302,1.1,-0.04,0.04,-2.205,1.71,-0.4,0.4
309,-1.302,0.9,-0.04,0.04,-2.205,1.71,-0.4,0.4
310,-1.302,0.9,-0.04,0.04,-2.103,1.71,-0.4,0.4
311,-1.302,0.8,-0.04,0.04,-1.912,1.807,-0.4,0.4
312,-1.302,0.8,-0.04,0.04,-2.002,1.9,-0.4,0.4
313,-1.3,0.8,-0.04,0.04,-2.002,1.9,-0.4,0.4
314,-1.205,0.8,-0.04,0.04,-1.912,1.9,-0.4,0.4
315,-1.203,0.8,-0.04,0.04,-1.902,1.807,-0.4,0.4
316,-1.202,0.8,-0.04,0.04,-1.812,1.8,-0.4,0.4
317,-1.202,0.8,-0.04,0.04,-1.812,1.807,-0.4,0.4
318,-1.2,0.803,-0.05,0.04,-1.812,1.8,-0.4,0.4
319,-1.2,0.805,-0.05,0.04,-1.802,1.8,-0.4,0.4
320,-1.2,0.9,-0.05,0.04,-1.71,1.9,-0.4,0.4
321,-1.11,0.9,-0.05,0.04,-1.71,1.9,-0.4,0.4
322,-1.11,1.002,-0.05,0.04,-1.703,1.9,-0.4,0.4
323,-1.11,1.002,-0.05,0.04,-1.613,1.9,-0.4,0.4
324,-1.105,1.002,-0.05,0.04,-1.703,1.9,-0.4,0.4
325,-1.11,1.002,-0.05,0.04,-1.703,1.9,-0.4,0.4
326,-1.11,1.002,-0.05,0.04,-1.9,1.9,-0.4,0.4
327,-1.11,1.002,-0.04,0.04,-1.902,2.007,-0.4,0.4
328,-1.11,1.002,-0.04,0.04,-1.905,2.007,-0.4,0.4
329,-1.1,1.002,-0.04,0.04,-1.905,2.007,-0.4,0.4
330,-1.1,0.903,-0.05,0.04,-2.0,2.007,-0.4,0.4
331,-1.11,0.903,-0.05,0.04,-2.355,1.9,-0.4,0.4
332,-1.2,0.902,-0.05,0.04,-2.635,1.803,-0.4,0.4
333,-1.2,0.902,-0.05,0.04,-5.84,1.708,-0.4,0.4
334,-1.3,0.902,-0.051,0.04,-9.937,1.7,-0.4,0.4
335,-1.313,0.8,-0.051,0.04,-14.335,1.7,-0.4,0.4
336,-1.91,0.8,-0.06,0.04,-18.362,1.7,-0.4,0.4
337,-2.503,0.8,-0.07,0.04,-23.26,1.515,-0.4,0.4
338,-2.92,0.702,-0.071,0.04,-27.858,1.515,-0.4,0.4
339,-3.425,0.7,-0.08,0.04,-32.425,1.507,-0.4,0.4
340,-4.42,0.7,-0.081,0.04,-36.09,1.402,-0.4,0.4
341,-4.925,0.7,-0.111,0.04,-38.572,1.402,-0.4,0.4
342,-6.022,0.7,-0.13,0.04,-41.05,1.402,-0.4,0.4
343,-7.007,0.7,-0.15,0.04,-42.848,1.402,-0.4,0.4
344,-7.715,0.61,-0.151,0.04,-44.51,1.4,-0.4,0.4
345,-7.83,0.602,-0.151,0.04,-45.71,1.4,-0.4,0.4
346,-8.05,0.61,-0.17,0.04,-46.402,1.303,-0.4,0.4
347,-9.235,0.7,-0.171,0.03,-46.52,1.303,-0.4,0.4
348,-9.642,0.7,-0.18,0.04,-46.52,1.303,-0.4,0.4
349,-10.742,0.7,-0.18,0.04,-46.52,1.303,-0.4,0.4
350,-11.733,0.702,-0.19,0.04,-46.52,1.303,-0.4,0.4
351,-12.738,0.702,-0.19,0.04,-46.52,1.4,-0.4,0.4
352,-14.022,0.702,-0.19,0.04,-46.52,2.502,-0.4,0.4
353,-14.115,0.903,-0.19,0.04,-44.81,4.302,-0.4,0.4
354,-14.115,1.203,-0.19,0.04,-41.323,7.607,-0.4,0.4
355,-14.36,1.407,-0.19,0.05,-38.5,11.302,-0.4,0.4
356,-14.645,1.805,-0.19,0.06,-34.505,15.407,-0.4,0.4
357,-14.65,2.405,-0.18,0.07,-30.3,19.707,-0.4,0.4
358,-14.65,2.405,-0.18,0.07,-30.3,19.707,-0.4,0.4
359,-14.65,2.405,-0.18,0.07,-30.3,19.707,-0.4,0.4
360,-14.65,2.405,-0.18,0.07,-30.3,19.707,-0.4,0.4
361,-14.65,2.405,-0.18,0.07,-30.3,19.707,-0.4,0.4
