batch_id,deviation_scenario,deviation_severity,split,elapsed_minutes,temperature_current,temperature_mean_30,temperature_std_30,temperature_min_30,temperature_max_30,temperature_slope_30,process_pressure_current,process_pressure_mean_30,process_pressure_std_30,process_pressure_min_30,process_pressure_max_30,process_pressure_slope_30,flow_rate_current,flow_rate_mean_30,flow_rate_std_30,flow_rate_min_30,flow_rate_max_30,flow_rate_slope_30,agitator_rpm_current,agitator_rpm_mean_30,agitator_rpm_std_30,agitator_rpm_min_30,agitator_rpm_max_30,agitator_rpm_slope_30,temperature_target_30min,process_pressure_target_30min,flow_rate_target_30min,agitator_rpm_target_30min
PAR-GOLDEN,None,None,train,40,26.5,23.7355,1.0924,22.9,26.5,0.1021,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,18,6.2258,7.5422,0,18,0.7585,33.4,1.01,0,22
PAR-GOLDEN,None,None,train,41,26.8,23.8548,1.212,22.9,26.8,0.1165,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,18,6.8065,7.731,0,18,0.7895,33.5,1.01,0,21
PAR-GOLDEN,None,None,train,42,27.2,23.9871,1.3394,22.9,27.2,0.1319,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,18,7.3871,7.8727,0,18,0.8133,33.5,1.01,0,18
PAR-GOLDEN,None,None,train,43,27.6,24.1355,1.4703,22.9,27.6,0.1473,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,18,7.9677,7.9696,0,18,0.8298,33.6,1.01,0,16
PAR-GOLDEN,None,None,train,44,28,24.2968,1.6049,22.9,28,0.1634,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,18,8.5484,8.0235,0,18,0.8391,33.6,1.01,0,12
PAR-GOLDEN,None,None,train,45,28.3,24.4677,1.7347,22.9,28.3,0.1792,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,18,9.129,8.0352,0,18,0.8411,33.7,1.01,0,9
PAR-GOLDEN,None,None,train,46,28.6,24.6516,1.8566,22.9,28.6,0.1941,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,19,9.7419,8.0401,0,19,0.8419,33.7,1.01,0,6
PAR-GOLDEN,None,None,train,47,29,24.8484,1.9797,23,29,0.2091,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,19,10.3548,7.9982,0,19,0.8351,33.8,1.01,0,4
PAR-GOLDEN,None,None,train,48,29.3,25.0516,2.0993,23,29.3,0.2241,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,20,11,7.9433,0,20,0.8266,33.8,1.01,0,3
PAR-GOLDEN,None,None,train,49,29.6,25.2645,2.2121,23,29.6,0.2384,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,21,11.6774,7.8715,0,21,0.8161,33.8,1.01,0,2
PAR-GOLDEN,None,None,train,50,29.9,25.4871,2.3176,23,29.9,0.2518,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,21,12.3548,7.7399,0,21,0.7972,33.9,1.01,0,1
PAR-GOLDEN,None,None,train,51,30.1,25.7161,2.4095,23,30.1,0.2637,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,21,13.0323,7.5455,0,21,0.7698,34,1.01,0,1
PAR-GOLDEN,None,None,train,52,30.4,25.9548,2.4937,23,30.4,0.2745,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,22,13.7419,7.3175,0,22,0.7399,34,1.01,0,1
PAR-GOLDEN,None,None,train,53,30.6,26.2,2.5638,23,30.6,0.2835,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,22,14.4516,7.0108,0,22,0.7012,33.9,1.01,0,0
PAR-GOLDEN,None,None,train,54,30.8,26.4484,2.6237,23,30.8,0.2913,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,22,15.1613,6.6142,0,22,0.6536,34,1.01,0,0
PAR-GOLDEN,None,None,train,55,31,26.7032,2.6694,23,31,0.2973,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,22,15.871,6.1105,0,22,0.5972,33.9,1.01,0,0
PAR-GOLDEN,None,None,train,56,31.1,26.9645,2.6904,23,31.1,0.3,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,22,16.5806,5.47,1,22,0.5319,34,1.01,0,0
PAR-GOLDEN,None,None,train,57,31.2,27.229,2.6907,23.1,31.2,0.3,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,22,17.2581,4.7517,3,22,0.4641,34,1.01,1.5,0
PAR-GOLDEN,None,None,train,58,31.4,27.4968,2.6795,23.2,31.4,0.2986,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,22,17.871,4.046,5,22,0.4008,34.2,1.02,3.9,0
PAR-GOLDEN,None,None,train,59,31.6,27.7677,2.6559,23.3,31.6,0.2957,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,22,18.4194,3.3579,8,22,0.3427,34.5,1.03,7.2,0
PAR-GOLDEN,None,None,train,60,31.8,28.0419,2.619,23.6,31.8,0.2913,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,22,18.871,2.8255,11,22,0.2972,34.9,1.03,11.5,0
PAR-GOLDEN,None,None,train,61,32,28.3129,2.5797,23.8,32,0.2865,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,22,19.2258,2.4849,13,22,0.2653,35.3,1.05,16.1,0
PAR-GOLDEN,None,None,train,62,32.1,28.5806,2.5276,24.1,32.1,0.2803,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,22,19.5161,2.2558,15,22,0.2419,35.7,1.06,21.3,0
PAR-GOLDEN,None,None,train,63,32.3,28.8452,2.4733,24.4,32.3,0.2739,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,22,19.7419,2.1398,16,22,0.2278,36.3,1.08,26.6,0
PAR-GOLDEN,None,None,train,64,32.5,29.1065,2.4171,24.7,32.5,0.2673,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,22,19.9355,2.0625,16,22,0.2173,36.9,1.09,30.9,0
PAR-GOLDEN,None,None,train,65,32.6,29.3613,2.3548,25,32.6,0.26,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,22,20.129,1.9632,17,22,0.2044,37.6,1.11,34.4,0
PAR-GOLDEN,None,None,train,66,32.8,29.6129,2.2912,25.2,32.8,0.2527,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,22,20.2903,1.904,17,22,0.1956,38.2,1.13,37.2,0
PAR-GOLDEN,None,None,train,67,32.9,29.8613,2.2154,25.6,32.9,0.2441,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,22,20.4516,1.8288,17,22,0.1847,38.9,1.14,39.5,0
PAR-GOLDEN,None,None,train,68,33.2,30.1065,2.1499,25.9,33.2,0.2368,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,22,20.6129,1.7354,18,22,0.1718,39.6,1.15,41.3,0
PAR-GOLDEN,None,None,train,69,33.3,30.3452,2.0792,26.2,33.3,0.229,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,22,20.7419,1.6842,18,22,0.1633,40.3,1.16,42.7,0
PAR-GOLDEN,None,None,train,70,33.4,30.5774,2.004,26.5,33.4,0.2207,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,22,20.871,1.6213,18,22,0.1532,41,1.17,43.9,0
PAR-GOLDEN,None,None,train,71,33.5,30.8032,1.9246,26.8,33.5,0.2121,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,21,20.9677,1.5342,18,22,0.1355,41.7,1.18,44.9,0
PAR-GOLDEN,None,None,train,72,33.5,31.0194,1.8371,27.2,33.5,0.2026,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,18,20.9677,1.5342,18,22,0.0984,42.4,1.18,45.6,0
PAR-GOLDEN,None,None,train,73,33.6,31.2258,1.7541,27.6,33.6,0.1935,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,16,20.9032,1.6916,16,22,0.0492,43.1,1.19,46.1,0
PAR-GOLDEN,None,None,train,74,33.6,31.4194,1.6724,28,33.6,0.1845,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,12,20.7097,2.2604,12,22,-0.0234,43.9,1.19,46.6,0
PAR-GOLDEN,None,None,train,75,33.7,31.6032,1.5981,28.3,33.7,0.1763,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,9,20.4194,3.035,9,22,-0.1117,44.6,1.19,47,0
PAR-GOLDEN,None,None,train,76,33.7,31.7774,1.521,28.6,33.7,0.1676,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,6,20.0323,3.9471,6,22,-0.2145,45.3,1.2,47.4,0
PAR-GOLDEN,None,None,train,77,33.8,31.9452,1.4462,29,33.8,0.1594,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,4,19.5484,4.8582,4,22,-0.3181,46,1.2,47.6,0
PAR-GOLDEN,None,None,train,78,33.8,32.1,1.3779,29.3,33.8,0.1516,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,3,19.0323,5.671,3,22,-0.4218,46.7,1.2,47.8,0
PAR-GOLDEN,None,None,train,79,33.8,32.2452,1.3107,29.6,33.8,0.1438,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,2,18.4516,6.4149,2,22,-0.5185,47.5,1.2,48,0
PAR-GOLDEN,None,None,train,80,33.9,32.3839,1.2495,29.9,33.9,0.1367,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,1,17.8065,7.0957,1,22,-0.6077,48.3,1.2,48.2,0
PAR-GOLDEN,None,None,train,81,34,32.5161,1.1954,30.1,34,0.1305,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,1,17.1613,7.6626,1,22,-0.6887,49,1.2,48.3,0
PAR-GOLDEN,None,None,train,82,34,32.6419,1.1384,30.4,34,0.1239,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,1,16.5161,8.1394,1,22,-0.7617,49.8,1.2,48.4,0
PAR-GOLDEN,None,None,train,83,33.9,32.7548,1.0827,30.6,34,0.117,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,0,15.8065,8.5776,0,22,-0.8262,50.5,1.21,48.5,0
PAR-GOLDEN,None,None,train,84,34,32.8645,1.0297,30.8,34,0.1106,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,0,15.0968,8.9383,0,22,-0.8819,51.3,1.2,48.5,0
PAR-GOLDEN,None,None,train,85,33.9,32.9645,0.9734,31,34,0.1036,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,0,14.3871,9.2307,0,22,-0.9286,52.1,1.2,48.6,0
PAR-GOLDEN,None,None,train,86,34,33.0613,0.921,31.1,34,0.0972,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,0,13.6774,9.4609,0,22,-0.9665,52.8,1.2,48.5,0
PAR-GOLDEN,None,None,train,87,34,33.1548,0.8624,31.2,34,0.0902,1.01,1.01,0,1.01,1.01,0,1.5,0.0484,0.265,0,1.5,0.0091,0,12.9677,9.6336,0,22,-0.9956,53.6,1.2,48.5,0
PAR-GOLDEN,None,None,train,88,34.2,33.2516,0.804,31.4,34.2,0.0839,1.02,1.0103,0.0018,1.01,1.02,0.0001,3.9,0.1742,0.73,0,3.9,0.0321,0,12.2581,9.7517,0,22,-1.0157,54.4,1.2,48.5,0
PAR-GOLDEN,None,None,train,89,34.5,33.3516,0.759,31.6,34.5,0.0795,1.03,1.011,0.0039,1.01,1.03,0.0002,7.2,0.4065,1.4388,0,7.2,0.0734,0,11.5484,9.8172,0,22,-1.027,55.1,1.2,48.4,0
PAR-GOLDEN,None,None,train,90,34.9,33.4581,0.7369,31.8,34.9,0.0776,1.03,1.0116,0.0051,1.01,1.03,0.0003,11.5,0.7774,2.4284,0,11.5,0.1379,0,10.8387,9.8311,0,22,-1.0294,55.8,1.2,48.4,0
PAR-GOLDEN,None,None,train,91,35.3,33.571,0.7424,32,35.3,0.078,1.05,1.0129,0.0085,1.01,1.05,0.0005,16.1,1.2968,3.6306,0,16.1,0.2256,0,10.129,9.7938,0,22,-1.023,56.6,1.2,48.5,0
PAR-GOLDEN,None,None,train,92,35.7,33.6903,0.7768,32.1,35.7,0.0808,1.06,1.0145,0.0119,1.01,1.06,0.0008,21.3,1.9839,5.056,0,21.3,0.3382,0,9.4194,9.7046,0,22,-1.0077,57.3,1.2,48.4,0
PAR-GOLDEN,None,None,train,93,36.3,33.8258,0.8504,32.3,36.3,0.0863,1.08,1.0168,0.0165,1.01,1.08,0.0011,26.6,2.8419,6.6518,0,26.6,0.4743,0,8.7097,9.562,0,22,-0.9835,58.1,1.2,48.5,0
PAR-GOLDEN,None,None,train,94,36.9,33.9742,0.9649,32.5,36.9,0.095,1.09,1.0194,0.0209,1.01,1.09,0.0015,30.9,3.8387,8.2697,0,30.9,0.6256,0,8,9.3636,0,22,-0.9504,58.8,1.2,48.4,0
PAR-GOLDEN,None,None,train,95,37.6,34.1387,1.1215,32.6,37.6,0.1075,1.11,1.0226,0.0263,1.01,1.11,0.002,34.4,4.9484,9.8392,0,34.4,0.7857,0,7.2903,9.1058,0,22,-0.9085,59.6,1.2,48.6,0
PAR-GOLDEN,None,None,train,96,38.2,34.3194,1.2965,32.8,38.2,0.1221,1.13,1.0265,0.0323,1.01,1.13,0.0026,37.2,6.1484,11.3196,0,37.2,0.9489,0,6.5806,8.7833,0,22,-0.8577,60.4,1.2,48.7,0
PAR-GOLDEN,None,None,train,97,38.9,34.5161,1.4982,32.9,38.9,0.14,1.14,1.0306,0.0378,1.01,1.14,0.0032,39.5,7.4226,12.6954,0,39.5,1.1109,0,5.871,8.3887,0,22,-0.798,61.1,1.2,48.7,0
PAR-GOLDEN,None,None,train,98,39.6,34.7323,1.7168,33.2,39.6,0.1603,1.15,1.0352,0.0431,1.01,1.15,0.0038,41.3,8.7548,13.9514,0,41.3,1.2679,0,5.1613,7.9112,0,22,-0.7294,61.6,1.2,48.7,0
PAR-GOLDEN,None,None,train,99,40.3,34.9613,1.9543,33.3,40.3,0.1841,1.16,1.04,0.0481,1.01,1.16,0.0044,42.7,10.1323,15.0812,0,42.7,1.4168,0,4.4516,7.3346,0,22,-0.652,62.1,1.2,48.8,0
PAR-GOLDEN,None,None,train,100,41,35.2097,2.2011,33.4,41,0.2099,1.17,1.0452,0.053,1.01,1.17,0.005,43.9,11.5484,16.0906,0,43.9,1.5556,0,3.7419,6.6331,0,22,-0.5657,62.5,1.2,48.7,0
PAR-GOLDEN,None,None,train,101,41.7,35.4774,2.4548,33.5,41.7,0.2375,1.18,1.0506,0.0576,1.01,1.18,0.0055,44.9,12.9968,16.982,0,44.9,1.6829,0,3.0323,5.7613,0,21,-0.4706,62.9,1.2,48.9,0
PAR-GOLDEN,None,None,train,102,42.4,35.7645,2.7136,33.5,42.4,0.2666,1.18,1.0561,0.0615,1.01,1.18,0.0061,45.6,14.4677,17.7501,0,45.6,1.7962,0,2.3548,4.7556,0,18,-0.373,63.2,1.2,48.8,0
PAR-GOLDEN,None,None,train,103,43.1,36.0742,2.9729,33.6,43.1,0.2964,1.19,1.0619,0.0652,1.01,1.19,0.0066,46.1,15.9548,18.3951,0,46.1,1.8942,0,1.7742,3.816,0,16,-0.2863,63.4,1.21,48.8,0
PAR-GOLDEN,None,None,train,104,43.9,36.4065,3.2413,33.6,43.9,0.3277,1.19,1.0677,0.0683,1.01,1.19,0.007,46.6,17.4581,18.9263,0,46.6,1.9766,0,1.2581,2.8052,0,12,-0.2052,63.6,1.2,48.8,0
PAR-GOLDEN,None,None,train,105,44.6,36.7613,3.5059,33.7,44.6,0.3592,1.19,1.0735,0.0707,1.01,1.19,0.0074,47,18.9742,19.3449,0,47,2.0427,0,0.871,2.0119,0,9,-0.1435,63.7,1.2,48.7,0
PAR-GOLDEN,None,None,train,106,45.3,37.1355,3.7684,33.7,45.3,0.3911,1.2,1.0797,0.0732,1.01,1.2,0.0077,47.4,20.5032,19.6555,0,47.4,2.0922,0,0.5806,1.3625,0,6,-0.0964,63.9,1.21,48.7,0
PAR-GOLDEN,None,None,train,107,46,37.5323,4.0246,33.8,46,0.4225,1.2,1.0858,0.075,1.01,1.2,0.008,47.6,22.0387,19.8521,0,47.6,2.1238,0,0.3871,0.9394,0,4,-0.0649,64.1,1.2,48.8,0
PAR-GOLDEN,None,None,train,108,46.7,37.9484,4.2763,33.8,46.7,0.4539,1.2,1.0919,0.0763,1.01,1.2,0.0082,47.8,23.5806,19.9366,0,47.8,2.1374,0,0.2581,0.6705,0,3,-0.044,64.1,1.2,48.8,0
PAR-GOLDEN,None,None,train,109,47.5,38.3903,4.5254,33.8,47.5,0.4849,1.2,1.0981,0.0771,1.01,1.2,0.0083,48,25.129,19.909,0,48,2.133,0,0.1613,0.447,0,2,-0.0278,64.2,1.21,48.8,0
PAR-GOLDEN,None,None,train,110,48.3,38.8581,4.7695,33.9,48.3,0.5152,1.2,1.1042,0.0774,1.01,1.2,0.0084,48.2,26.6839,19.7674,0,48.2,2.1104,0,0.0968,0.2957,0,1,-0.0169,64.2,1.2,48.8,0
PAR-GOLDEN,None,None,train,111,49,39.3452,5.0036,33.9,49,0.5446,1.2,1.1103,0.0772,1.01,1.2,0.0084,48.3,28.2419,19.5046,0,48.3,2.069,0,0.0645,0.2457,0,1,-0.0117,64.3,1.2,48.7,0
PAR-GOLDEN,None,None,train,112,49.8,39.8548,5.2326,33.9,49.8,0.5733,1.2,1.1165,0.0766,1.01,1.2,0.0083,48.4,29.8032,19.1146,0,48.4,2.0087,0,0.0323,0.1767,0,1,-0.006,64.3,1.2,48.7,0
PAR-GOLDEN,None,None,train,113,50.5,40.3871,5.4449,33.9,50.5,0.6,1.21,1.1229,0.0757,1.01,1.21,0.0081,48.5,31.3677,18.5889,0,48.5,1.9295,0,0,0,0,0,0,64.3,1.2,48.6,0
PAR-GOLDEN,None,None,train,114,51.3,40.9484,5.6406,33.9,51.3,0.6241,1.2,1.129,0.074,1.01,1.21,0.0079,48.5,32.9323,17.9116,0,48.5,1.8308,0,0,0,0,0,0,64.3,1.2,48.6,0
PAR-GOLDEN,None,None,train,115,52.1,41.5323,5.8249,33.9,52.1,0.6467,1.2,1.1352,0.0717,1.01,1.21,0.0075,48.6,34.5,17.0676,0,48.6,1.7131,0,0,0,0,0,0,64.3,1.2,48.5,0
PAR-GOLDEN,None,None,train,116,52.8,42.1419,5.9811,34,52.8,0.6656,1.2,1.1413,0.0688,1.01,1.21,0.0071,48.5,36.0645,16.0244,0,48.6,1.5752,0,0,0,0,0,0,64.4,1.19,48.4,0
PAR-GOLDEN,None,None,train,117,53.6,42.7742,6.1214,34,53.6,0.6824,1.2,1.1474,0.0653,1.01,1.21,0.0066,48.5,37.629,14.7433,1.5,48.6,1.4177,0,0,0,0,0,0,64.4,1.19,48.4,0
PAR-GOLDEN,None,None,train,118,54.4,43.4323,6.2381,34.2,54.4,0.6961,1.2,1.1535,0.0608,1.02,1.21,0.0061,48.5,39.1452,13.2956,3.9,48.6,1.2504,0,0,0,0,0,0,64.4,1.19,48.4,0
PAR-GOLDEN,None,None,train,119,55.1,44.1065,6.3326,34.5,55.1,0.7071,1.2,1.1594,0.0562,1.03,1.21,0.0055,48.4,40.5806,11.7219,7.2,48.6,1.079,0,0,0,0,0,0,64.3,1.19,48.4,0
PAR-GOLDEN,None,None,train,120,55.8,44.7935,6.4081,34.9,55.8,0.7159,1.2,1.1648,0.0514,1.03,1.21,0.0049,48.4,41.9097,10.0829,11.5,48.6,0.9109,0,0,0,0,0,0,64.3,1.19,48.3,0
PAR-GOLDEN,None,None,train,121,56.6,45.4935,6.474,35.3,56.6,0.7235,1.2,1.1703,0.0455,1.05,1.21,0.0042,48.5,43.1032,8.4742,16.1,48.6,0.7546,0,0,0,0,0,0,64.3,1.19,48.2,0
PAR-GOLDEN,None,None,train,122,57.3,46.2032,6.5233,35.7,57.3,0.7291,1.2,1.1752,0.0401,1.06,1.21,0.0036,48.4,44.1452,6.9361,21.3,48.6,0.6124,0,0,0,0,0,0,64.3,1.19,48.3,0
PAR-GOLDEN,None,None,train,123,58.1,46.9258,6.5604,36.3,58.1,0.7333,1.2,1.1797,0.0343,1.08,1.21,0.003,48.5,45.0226,5.5781,26.6,48.6,0.4913,0,0,0,0,0,0,64.2,1.19,48.5,0
PAR-GOLDEN,None,None,train,124,58.8,47.6516,6.5892,36.9,58.8,0.7366,1.2,1.1835,0.0292,1.09,1.21,0.0025,48.4,45.7258,4.4767,30.9,48.6,0.3929,0,0,0,0,0,0,64.2,1.19,48.5,0
PAR-GOLDEN,None,None,train,125,59.6,48.3839,6.615,37.6,59.6,0.7395,1.2,1.1871,0.0239,1.11,1.21,0.002,48.6,46.2968,3.5904,34.4,48.6,0.3146,0,0,0,0,0,0,64.2,1.19,48.6,0
PAR-GOLDEN,None,None,train,126,60.4,49.1194,6.6426,38.2,60.4,0.7426,1.2,1.19,0.0193,1.13,1.21,0.0016,48.7,46.7581,2.8807,37.2,48.7,0.2524,0,0,0,0,0,0,64.2,1.19,48.6,0
PAR-GOLDEN,None,None,train,127,61.1,49.8581,6.6605,38.9,61.1,0.7446,1.2,1.1923,0.016,1.14,1.21,0.0013,48.7,47.129,2.3099,39.5,48.7,0.2025,0,0,0,0,0,0,64.2,1.2,48.6,0
PAR-GOLDEN,None,None,train,128,61.6,50.5903,6.6633,39.6,61.6,0.7449,1.2,1.1942,0.0129,1.15,1.21,0.001,48.7,47.4258,1.8573,41.3,48.7,0.1628,0,0,0,0,0,0,64.2,1.2,48.7,0
PAR-GOLDEN,None,None,train,129,62.1,51.3161,6.652,40.3,62.1,0.7436,1.2,1.1958,0.0101,1.16,1.21,0.0007,48.8,47.6677,1.4972,42.7,48.8,0.1316,0,0,0,0,0,0,64.3,1.2,48.7,0
PAR-GOLDEN,None,None,train,130,62.5,52.0323,6.6225,41,62.5,0.7402,1.2,1.1971,0.0077,1.17,1.21,0.0005,48.7,47.8613,1.201,43.9,48.8,0.1058,0,0,0,0,0,0,64.2,1.2,48.7,0
PAR-GOLDEN,None,None,train,131,62.9,52.7387,6.5758,41.7,62.9,0.7348,1.2,1.1981,0.0059,1.18,1.21,0.0004,48.9,48.0226,0.9721,44.9,48.9,0.0865,0,0,0,0,0,0,64.2,1.2,48.7,0
PAR-GOLDEN,None,None,train,132,63.2,53.4323,6.5085,42.4,63.2,0.7268,1.2,1.1987,0.0049,1.18,1.21,0.0003,48.8,48.1484,0.7963,45.6,48.9,0.071,0,0,0,0,0,0,64.3,1.19,48.7,0
PAR-GOLDEN,None,None,train,133,63.4,54.1097,6.4172,43.1,63.4,0.7159,1.21,1.1997,0.004,1.19,1.21,0.0002,48.8,48.2516,0.654,46.1,48.9,0.0585,0,0,0,0,0,0,64.2,1.19,48.7,0
PAR-GOLDEN,None,None,train,134,63.6,54.771,6.3038,43.9,63.6,0.7023,1.2,1.2,0.0036,1.19,1.21,0.0001,48.8,48.3387,0.5296,46.6,48.9,0.048,0,0,0,0,0,0,64.2,1.19,48.7,0
PAR-GOLDEN,None,None,train,135,63.7,55.4097,6.1717,44.6,63.7,0.6862,1.2,1.2003,0.0031,1.19,1.21,0.0001,48.7,48.4065,0.4272,47,48.9,0.039,0,0,0,0,0,0,64.1,1.2,48.7,0
PAR-GOLDEN,None,None,train,136,63.9,56.0323,6.0215,45.3,63.9,0.6678,1.21,1.201,0.003,1.2,1.21,0.0001,48.7,48.4613,0.3442,47.4,48.9,0.0317,0,0,0,0,0,0,64,1.2,48.6,0
PAR-GOLDEN,None,None,train,137,64.1,56.6387,5.8545,46,64.1,0.6473,1.2,1.201,0.003,1.2,1.21,0.0001,48.8,48.5065,0.2895,47.6,48.9,0.0269,0,0,0,0,0,0,64,1.2,48.5,0
PAR-GOLDEN,None,None,train,138,64.1,57.2226,5.6638,46.7,64.1,0.6238,1.2,1.201,0.003,1.2,1.21,0.0001,48.8,48.5452,0.2421,47.8,48.9,0.0228,0,0,0,0,0,0,64,1.2,48.5,0
PAR-GOLDEN,None,None,train,139,64.2,57.7871,5.4551,47.5,64.2,0.5981,1.21,1.2013,0.0034,1.2,1.21,0.0001,48.8,48.5774,0.2043,48,48.9,0.0195,0,0,0,0,0,0,64,1.2,48.5,0
PAR-GOLDEN,None,None,train,140,64.2,58.3258,5.2327,48.3,64.2,0.5706,1.2,1.2013,0.0034,1.2,1.21,0.0001,48.8,48.6032,0.1787,48.2,48.9,0.0171,0,0,0,0,0,0,64,1.2,48.5,0
PAR-GOLDEN,None,None,train,141,64.3,58.8419,5.0024,49,64.3,0.542,1.2,1.2013,0.0034,1.2,1.21,0.0001,48.7,48.6194,0.1635,48.3,48.9,0.0151,0,0,0,0,0,0,63.9,1.2,48.4,0
