batch_id,cycle_time_hrs,process_stability_pct,process_stability_in_control_pct_temperature,process_stability_in_control_pct_process_pressure,process_stability_in_control_pct_flow_rate,golden_batch_similarity_pct,golden_batch_similarity_pct_temperature,golden_batch_similarity_pct_process_pressure,golden_batch_similarity_pct_flow_rate,fault_onset_elapsed_minutes,theoretical_output_kg,actual_output_kg,assay_pct,yield_pct,quality_score_pct,oee_availability_pct,oee_performance_pct,oee_quality_pct,oee_pct,total_energy_kwh,sec_kwh_per_kg,generation_method_version
PAR-021,6.283,99.16,97.47,100.0,100.0,88.2,90.87,85.7,88.05,174.0,150.0,150.0,99.95,100.0,99.46,100.0,94.82,99.46,94.3,242.49,1.6166,v2
PAR-022,6.517,99.22,97.67,100.0,100.0,86.96,87.56,85.88,87.45,205.0,150.0,147.79,100.09,98.53,99.12,97.95,92.87,99.12,90.18,240.64,1.6283,v2
PAR-023,6.75,98.21,94.62,100.0,100.0,89.66,88.52,90.79,89.66,159.0,150.0,147.04,99.79,98.03,97.94,94.57,95.01,97.94,88.0,248.38,1.6892,v2
PAR-024,6.4,98.99,96.97,100.0,100.0,88.68,89.22,88.78,88.03,168.0,150.0,149.2,99.67,99.47,96.69,99.74,94.98,96.69,91.6,238.53,1.5988,v2
PAR-025,6.467,100.0,100.0,100.0,100.0,89.22,88.99,89.82,88.85,,150.0,150.0,100.36,100.0,96.43,98.71,90.99,96.43,86.61,241.2,1.608,v2
PAR-026,6.383,100.0,100.0,100.0,100.0,89.25,88.87,90.46,88.41,,150.0,150.0,99.71,100.0,97.07,100.0,93.74,97.07,90.99,240.2,1.6013,v2
PAR-027,6.3,100.0,100.0,100.0,100.0,90.89,90.99,90.0,91.68,,150.0,149.73,100.05,99.82,99.54,100.0,95.42,99.54,94.98,246.31,1.645,v2
PAR-028,6.317,100.0,100.0,100.0,100.0,90.31,87.42,93.09,90.43,,150.0,150.0,99.54,100.0,95.37,100.0,93.21,95.37,88.89,240.33,1.6022,v2
PAR-029,6.583,99.81,100.0,99.43,100.0,88.08,88.26,88.45,87.54,219.0,150.0,150.0,99.9,100.0,99.0,96.96,97.68,99.0,93.77,244.64,1.6309,v2
PAR-030,6.3,98.74,96.23,100.0,100.0,89.3,88.29,91.04,88.56,173.0,150.0,148.88,99.56,99.26,95.63,100.0,92.73,95.63,88.68,237.04,1.5921,v2
PAR-031,6.55,99.62,98.85,100.0,100.0,90.08,90.62,90.21,89.4,181.0,150.0,149.49,99.64,99.66,96.41,97.46,91.01,96.41,85.51,244.01,1.6323,v2
PAR-032,6.75,98.75,96.24,100.0,100.0,87.92,88.6,87.23,87.94,164.0,150.0,150.0,99.7,100.0,97.02,94.57,97.2,97.02,89.18,243.78,1.6252,v2
PAR-033,6.533,99.61,98.84,100.0,100.0,89.26,90.05,89.36,88.37,312.0,150.0,148.38,99.88,98.92,98.76,97.7,96.54,98.76,93.16,248.61,1.6755,v2
PAR-034,6.333,98.55,96.27,100.0,99.38,88.99,87.0,91.61,88.36,221.0,150.0,149.85,99.37,99.9,93.73,100.0,91.23,93.73,85.51,243.86,1.6273,v2
PAR-035,6.35,99.38,98.15,100.0,100.0,89.74,87.1,91.14,90.98,290.0,150.0,150.0,99.76,100.0,97.6,100.0,93.66,97.6,91.41,238.33,1.5889,v2
PAR-036,6.083,99.09,97.26,100.0,100.0,89.43,88.87,88.56,90.87,176.0,150.0,149.73,99.88,99.82,98.75,100.0,93.02,98.75,91.86,240.63,1.6071,v2
PAR-037,6.633,99.26,97.77,100.0,100.0,90.31,91.17,91.16,88.61,187.0,150.0,150.0,99.9,100.0,99.02,96.23,96.95,99.02,92.39,248.84,1.659,v2
PAR-038,6.383,98.37,95.12,100.0,100.0,88.16,85.59,90.06,88.82,200.0,150.0,148.66,99.9,99.1,99.0,100.0,94.79,99.0,93.83,242.43,1.6308,v2
PAR-039,6.333,100.0,100.0,100.0,100.0,90.26,89.46,91.06,90.26,,150.0,147.55,100.27,98.37,97.26,100.0,92.6,97.26,90.06,242.51,1.6435,v2
PAR-040,6.733,100.0,100.0,100.0,100.0,88.95,88.6,88.96,89.29,,150.0,150.0,99.85,100.0,98.52,94.8,92.43,98.52,86.33,242.12,1.6141,v2
PAR-041,6.017,100.0,100.0,100.0,100.0,90.03,89.1,91.09,89.89,,150.0,150.0,100.08,100.0,99.17,100.0,91.94,99.17,91.17,237.78,1.5852,v2
PAR-042,6.45,99.6,98.81,100.0,100.0,87.96,83.57,91.77,88.55,159.0,150.0,150.0,100.15,100.0,98.5,98.97,96.37,98.5,93.94,240.68,1.6045,v2
PAR-043,6.633,100.0,100.0,100.0,100.0,88.14,89.36,88.84,86.23,,150.0,149.53,99.91,99.69,99.05,96.23,95.93,99.05,91.44,245.01,1.6385,v2
PAR-044,6.683,99.45,98.35,100.0,100.0,87.63,89.97,88.14,84.78,185.0,150.0,150.0,100.23,100.0,97.66,95.51,97.9,97.66,91.32,241.35,1.609,v2
PAR-045,6.3,98.95,96.86,100.0,100.0,88.03,90.74,88.36,84.99,194.0,150.0,147.42,99.69,98.28,96.95,100.0,94.7,96.95,91.81,235.13,1.5949,v2
PAR-046,6.1,99.32,97.96,100.0,100.0,88.17,86.92,89.12,88.47,199.0,150.0,150.0,99.86,100.0,98.64,100.0,95.87,98.64,94.57,235.85,1.5723,v2
PAR-047,6.067,100.0,100.0,100.0,100.0,89.39,85.98,92.14,90.04,,150.0,150.0,100.0,100.0,99.99,100.0,97.2,99.99,97.2,233.29,1.5553,v2
PAR-048,6.467,98.62,95.86,100.0,100.0,89.36,87.2,91.71,89.18,194.0,150.0,149.39,100.3,99.6,96.96,98.71,96.67,96.96,92.53,239.52,1.6033,v2
PAR-049,6.733,99.82,99.46,100.0,100.0,90.56,89.39,89.48,92.8,188.0,150.0,150.0,100.49,100.0,95.09,94.8,96.99,95.09,87.43,244.75,1.6317,v2
PAR-050,6.033,99.3,97.9,100.0,100.0,89.49,87.85,90.7,89.92,202.0,150.0,150.0,99.35,100.0,93.46,100.0,95.14,93.46,88.91,238.55,1.5903,v2
PAR-051,6.8,99.29,97.88,100.0,100.0,88.57,86.51,92.74,86.46,200.0,150.0,150.0,99.95,100.0,99.48,93.87,95.66,99.48,89.34,246.28,1.6419,v2
PAR-052,6.317,99.17,97.5,100.0,100.0,89.83,90.44,89.69,89.37,167.0,150.0,150.0,99.7,100.0,96.99,100.0,92.02,96.99,89.26,240.37,1.6025,v2
PAR-053,6.367,100.0,100.0,100.0,100.0,88.48,89.2,90.09,86.13,,150.0,149.38,99.82,99.59,98.24,100.0,90.01,98.24,88.42,237.49,1.5899,v2
PAR-054,6.867,98.96,96.89,100.0,100.0,90.34,90.9,90.98,89.16,198.0,150.0,147.38,99.94,98.25,99.35,92.96,90.32,99.35,83.42,248.93,1.689,v2
PAR-055,6.6,100.0,100.0,100.0,100.0,90.79,90.67,90.37,91.32,,150.0,150.0,100.72,100.0,92.81,96.72,94.45,92.81,84.78,245.34,1.6356,v2
PAR-056,6.667,99.63,98.9,100.0,100.0,89.83,90.53,90.03,88.94,179.0,150.0,148.0,99.86,98.67,98.57,95.75,96.15,98.57,90.75,246.42,1.665,v2
PAR-057,6.8,99.47,98.41,100.0,100.0,89.45,87.61,90.12,90.64,211.0,150.0,149.46,100.21,99.64,97.94,93.87,97.29,97.94,89.45,248.17,1.6605,v2
PAR-058,6.733,100.0,100.0,100.0,100.0,89.96,89.05,90.18,90.65,,150.0,150.0,99.75,100.0,97.53,94.8,93.71,97.53,86.65,250.12,1.6675,v2
PAR-059,6.15,97.11,94.67,100.0,96.67,88.56,89.27,89.67,86.73,174.0,150.0,148.78,99.76,99.19,97.64,100.0,91.51,97.64,89.35,239.45,1.6094,v2
PAR-060,6.233,99.78,99.35,100.0,100.0,89.46,89.74,89.0,89.63,304.0,150.0,148.1,99.49,98.73,94.9,100.0,91.39,94.9,86.73,242.43,1.6369,v2
PAR-061,6.767,99.82,99.47,100.0,100.0,89.96,90.52,90.3,89.07,306.0,150.0,150.0,99.3,100.0,92.97,94.33,96.14,92.97,84.31,243.44,1.6229,v2
PAR-062,6.267,100.0,100.0,100.0,100.0,89.27,87.93,91.59,88.29,,150.0,147.03,100.22,98.02,97.8,100.0,92.53,97.8,90.5,237.08,1.6124,v2
PAR-063,6.567,100.0,100.0,100.0,100.0,90.66,90.18,91.37,90.43,,150.0,149.01,100.26,99.34,97.45,97.21,93.75,97.45,88.81,245.67,1.6487,v2
PAR-064,6.867,98.45,95.34,100.0,100.0,88.16,86.52,90.85,87.11,164.0,150.0,150.0,99.7,100.0,97.0,92.96,91.25,97.0,82.29,250.45,1.6697,v2
PAR-065,6.067,99.77,99.31,100.0,100.0,90.57,90.22,91.79,89.68,184.0,150.0,149.9,99.82,99.94,98.21,100.0,93.08,98.21,91.41,233.79,1.5596,v2
PAR-066,6.367,100.0,100.0,100.0,100.0,89.64,89.56,93.4,85.96,,150.0,146.44,100.12,97.62,98.82,100.0,94.88,98.82,93.76,243.44,1.6625,v2
PAR-067,6.483,100.0,100.0,100.0,100.0,89.23,87.58,91.22,88.9,,150.0,145.75,100.27,97.17,97.3,98.46,93.19,97.3,89.27,242.55,1.6642,v2
PAR-068,6.317,99.79,99.38,100.0,100.0,90.46,90.14,91.69,89.54,159.0,150.0,149.79,99.72,99.86,97.21,100.0,91.58,97.21,89.03,234.66,1.5666,v2
PAR-069,6.583,99.24,97.73,100.0,100.0,86.62,88.95,85.52,85.4,187.0,150.0,150.0,99.36,100.0,93.63,96.96,91.65,93.63,83.2,241.57,1.6105,v2
PAR-070,6.317,99.79,99.38,100.0,100.0,89.62,90.55,90.09,88.22,183.0,150.0,150.0,100.17,100.0,98.29,100.0,91.58,98.29,90.02,239.04,1.5936,v2
PAR-071,6.2,100.0,100.0,100.0,100.0,90.3,88.86,91.41,90.63,,150.0,150.0,99.52,100.0,95.21,100.0,93.67,95.21,89.19,234.44,1.563,v2
PAR-072,6.033,99.77,99.3,100.0,100.0,89.65,89.21,89.93,89.81,205.0,150.0,150.0,99.72,100.0,97.19,100.0,91.98,97.19,89.39,241.71,1.6114,v2
PAR-073,6.267,100.0,100.0,100.0,100.0,90.18,87.36,92.58,90.59,,150.0,148.63,99.4,99.09,93.98,100.0,97.07,93.98,91.22,241.85,1.6272,v2
PAR-074,6.617,99.81,99.44,100.0,100.0,89.55,90.05,90.73,87.87,205.0,150.0,150.0,100.18,100.0,98.17,96.47,96.29,98.17,91.19,240.64,1.6043,v2
PAR-075,6.333,98.34,95.65,100.0,99.38,86.6,86.27,88.63,84.88,196.0,150.0,150.0,100.42,100.0,95.85,100.0,90.22,95.85,86.48,241.17,1.6078,v2
PAR-076,6.567,98.48,95.43,100.0,100.0,88.86,89.66,89.91,87.01,165.0,150.0,146.79,100.42,97.86,95.75,97.21,90.89,95.75,84.6,248.59,1.6935,v2
PAR-077,6.483,100.0,100.0,100.0,100.0,89.11,88.61,92.44,86.27,,150.0,148.06,100.57,98.7,94.26,98.46,97.16,94.26,90.17,241.47,1.631,v2
PAR-078,5.95,99.76,100.0,99.28,100.0,88.34,90.6,88.41,86.01,237.0,150.0,149.61,99.89,99.74,98.95,100.0,93.16,98.95,92.18,230.73,1.5422,v2
PAR-079,5.95,100.0,100.0,100.0,100.0,90.21,90.87,92.28,87.47,,150.0,150.0,99.8,100.0,97.95,100.0,97.97,97.95,95.96,236.68,1.5778,v2
PAR-080,6.433,99.2,97.6,100.0,100.0,90.54,87.3,92.2,92.13,191.0,150.0,147.72,99.64,98.48,96.4,99.22,95.4,96.4,91.25,244.35,1.6541,v2
PAR-081,6.55,79.69,39.08,100.0,100.0,75.53,46.59,90.61,89.39,211.0,150.0,142.06,97.66,94.71,76.65,97.46,84.23,76.65,62.92,252.42,1.7768,v2
PAR-082,6.167,76.16,28.48,100.0,100.0,77.34,53.53,88.44,90.06,168.0,150.0,136.52,97.79,91.01,77.88,100.0,85.16,77.88,66.32,246.41,1.8049,v2
PAR-083,6.083,100.0,100.0,100.0,100.0,81.65,65.22,90.34,89.39,,150.0,150.0,99.95,100.0,99.47,100.0,90.95,99.47,90.46,239.65,1.5977,v2
PAR-084,6.033,90.68,72.03,100.0,100.0,84.35,73.09,91.92,88.02,153.0,150.0,144.98,99.45,96.65,94.54,100.0,88.42,94.54,83.59,242.03,1.6694,v2
PAR-085,6.05,77.08,31.25,100.0,100.0,67.28,24.34,90.35,87.14,150.0,150.0,138.07,97.63,92.04,76.26,100.0,89.86,76.26,68.52,245.01,1.7746,v2
PAR-086,6.767,85.2,55.61,100.0,100.0,79.89,59.88,90.88,88.89,179.0,150.0,141.47,98.4,94.31,84.01,94.33,88.34,84.01,70.02,248.53,1.7567,v2
PAR-087,6.033,100.0,100.0,100.0,100.0,89.87,91.17,89.13,89.32,,150.0,150.0,100.0,100.0,99.99,100.0,85.75,99.99,85.75,239.29,1.5953,v2
PAR-088,6.583,99.43,98.3,100.0,100.0,89.57,89.88,89.76,89.08,211.0,150.0,150.0,99.87,100.0,98.74,96.96,91.71,98.74,87.8,247.77,1.6518,v2
PAR-089,6.667,100.0,100.0,100.0,100.0,90.15,90.26,90.12,90.08,,150.0,149.32,100.42,99.55,95.83,95.75,90.49,95.83,83.03,240.27,1.6091,v2
PAR-090,6.4,98.38,95.15,100.0,100.0,88.82,88.12,91.22,87.11,188.0,150.0,148.81,99.93,99.2,99.32,99.74,83.59,99.32,82.8,241.36,1.622,v2
PAR-091,6.6,99.06,97.18,100.0,100.0,88.36,89.5,87.9,87.69,177.0,150.0,147.91,99.53,98.6,95.26,96.72,88.16,95.26,81.23,240.78,1.6279,v2
PAR-092,6.333,99.38,98.14,100.0,100.0,90.5,90.45,90.25,90.81,196.0,150.0,148.71,99.67,99.14,96.66,100.0,86.52,96.66,83.62,239.98,1.6138,v2
PAR-093,6.217,94.59,98.7,85.06,100.0,81.62,88.15,68.18,88.53,207.0,150.0,146.83,99.77,97.89,97.67,100.0,90.45,97.67,88.34,243.14,1.6559,v2
PAR-094,6.267,96.6,96.82,92.99,100.0,82.47,90.81,69.97,86.64,188.0,150.0,147.69,99.88,98.46,98.81,100.0,85.89,98.81,84.87,239.28,1.6201,v2
PAR-095,6.583,71.4,98.86,15.34,100.0,69.89,89.25,29.36,91.07,177.0,150.0,136.36,96.25,90.91,62.55,96.96,88.41,62.55,53.61,252.57,1.8523,v2
PAR-096,6.317,98.33,97.5,97.5,100.0,86.45,90.97,81.62,86.75,158.0,150.0,150.0,99.74,100.0,97.45,100.0,85.24,97.45,83.07,238.35,1.589,v2
PAR-097,6.05,96.3,100.0,88.89,100.0,84.47,91.91,74.58,86.92,241.0,150.0,145.95,100.02,97.3,99.77,100.0,84.93,99.77,84.73,240.17,1.6456,v2
PAR-098,6.283,99.37,98.1,100.0,100.0,86.92,90.24,81.74,88.78,209.0,150.0,146.81,99.72,97.88,97.16,100.0,89.48,97.16,86.95,241.73,1.6465,v2
PAR-099,6.6,65.16,95.48,100.0,0.0,66.17,90.32,90.15,18.04,150.0,150.0,130.61,96.64,87.08,66.35,96.72,88.03,66.35,56.49,257.2,1.9692,v2
PAR-100,6.0,82.27,100.0,100.0,46.81,77.07,90.14,91.1,49.98,184.0,150.0,139.09,97.79,92.73,77.87,100.0,86.06,77.87,67.01,243.07,1.7476,v2
PAR-101,6.717,74.46,100.0,100.0,23.37,72.23,87.36,87.87,41.47,162.0,150.0,137.11,97.51,91.41,75.14,95.04,90.72,75.14,64.79,248.47,1.8122,v2
PAR-102,6.417,73.69,100.0,100.0,21.08,62.98,90.43,91.37,7.14,185.0,150.0,135.72,97.41,90.48,74.1,99.48,84.7,74.1,62.44,249.14,1.8358,v2
PAR-103,6.75,66.49,98.92,100.0,0.54,67.27,90.7,91.25,19.85,150.0,150.0,133.8,97.22,89.2,72.19,94.57,82.87,72.19,56.57,255.46,1.9093,v2
PAR-104,6.7,86.7,100.0,100.0,60.11,78.57,87.96,90.09,57.67,172.0,150.0,146.29,98.76,97.53,87.58,95.27,91.73,87.58,76.54,243.25,1.6628,v2
PAR-105,6.567,66.86,99.43,80.0,21.14,60.47,88.2,68.35,24.86,159.0,150.0,132.79,96.25,88.53,62.5,97.21,82.0,62.5,49.82,249.04,1.8755,v2
PAR-106,6.767,78.43,99.47,90.91,44.92,70.73,88.16,74.85,49.18,170.0,150.0,139.08,98.09,92.72,80.92,94.33,91.16,80.92,69.58,251.25,1.8065,v2
PAR-107,6.433,73.65,97.01,90.42,33.53,63.16,89.57,70.7,29.2,167.0,150.0,135.56,97.49,90.37,74.87,99.22,88.62,74.87,65.83,247.39,1.825,v2
PAR-108,6.5,74.27,100.0,78.95,43.86,64.77,87.99,66.55,39.77,191.0,150.0,135.62,97.52,90.41,75.15,98.21,82.67,75.15,61.02,251.51,1.8545,v2
PAR-109,6.85,75.0,99.48,84.38,41.15,71.29,87.82,72.74,53.31,219.0,150.0,137.73,97.82,91.82,78.22,93.19,82.83,78.22,60.37,258.03,1.8734,v2
PAR-110,6.35,68.72,91.98,86.42,27.78,62.29,89.44,66.36,31.07,166.0,150.0,138.06,96.31,92.04,63.15,100.0,84.1,63.15,53.11,245.85,1.7807,v2
PAR-111,8.267,42.12,96.39,24.55,5.42,43.24,88.96,40.76,0.0,158.0,150.0,127.5,94.53,85.0,45.34,77.22,85.54,45.34,29.95,285.37,2.2382,v2
PAR-112,7.633,37.66,98.74,13.39,0.84,37.22,87.76,23.9,0.0,152.0,150.0,127.5,93.3,85.0,32.98,83.62,79.34,32.98,21.88,282.77,2.2178,v2
PAR-113,8.4,53.92,98.6,41.75,21.4,56.37,86.77,61.07,21.27,210.0,150.0,129.16,95.77,86.11,57.73,75.99,86.47,57.73,37.94,274.72,2.1269,v2
PAR-114,8.333,55.16,99.29,43.77,22.42,63.63,89.01,68.05,33.82,178.0,150.0,127.5,95.84,85.0,58.4,76.6,84.58,58.4,37.84,281.65,2.2091,v2
PAR-115,6.45,66.67,0.0,100.0,100.0,59.85,0.0,90.0,89.54,150.0,150.0,129.17,96.51,86.11,65.08,98.97,79.5,65.08,51.2,249.32,1.9302,v2
PAR-116,6.133,68.01,4.03,100.0,100.0,59.26,0.0,89.97,87.8,154.0,150.0,133.54,96.52,89.03,65.17,100.0,86.83,65.17,56.59,251.97,1.8869,v2
PAR-117,6.467,74.36,98.82,24.26,100.0,68.88,89.25,28.48,88.91,175.0,150.0,135.26,97.72,90.17,77.16,98.71,83.45,77.16,63.56,249.71,1.8461,v2
PAR-118,6.367,66.67,100.0,100.0,0.0,60.14,90.97,89.45,0.0,150.0,150.0,132.31,96.52,88.2,65.16,100.0,75.29,65.16,49.06,251.49,1.9008,v2
PAR-119,6.033,100.0,100.0,100.0,100.0,89.77,88.88,91.22,89.21,,150.0,150.0,100.27,100.0,97.31,100.0,81.99,97.31,79.79,240.21,1.6014,v2
PAR-GOLDEN,6.383,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,150.0,149.65,100.06,99.77,99.43,100.0,94.97,99.43,94.43,239.73,1.6019,v2
