batch_id,plant,is_golden_batch,batch_start_datetime,batch_duration_minutes,deviation_scenario,deviation_severity,theoretical_output_kg,actual_output_kg,energy_kwh,assay_pct
PAR-101,Pune Facility,false,2025-02-16T15:00:00.000Z,403,FlowRate_DamperMiscalibration,Warning,150.0,137.11,248.47,97.51
PAR-102,Chennai Plant,false,2025-02-17T02:00:00.000Z,385,FlowRate_DuctBlockage,Warning,150.0,135.72,249.14,97.41
PAR-103,Hyderabad Plant,false,2025-02-17T13:00:00.000Z,405,FlowRate_FanFault,Warning,150.0,133.8,255.46,97.22
PAR-104,Pune Facility,false,2025-02-18T00:00:00.000Z,402,FlowRate_FilterLoadingDecay,Warning,150.0,146.29,243.25,98.76
PAR-105,Chennai Plant,false,2025-02-18T11:00:00.000Z,394,Correlated_DryerRestriction,Warning,150.0,132.79,249.04,96.25
PAR-106,Hyderabad Plant,false,2025-02-18T22:00:00.000Z,406,Correlated_DryerRestriction,Warning,150.0,139.08,251.25,98.09
PAR-107,Pune Facility,false,2025-02-19T09:00:00.000Z,386,Correlated_DryerRestriction,Warning,150.0,135.56,247.39,97.49
PAR-108,Chennai Plant,false,2025-02-19T20:00:00.000Z,390,Correlated_DryerRestriction,Warning,150.0,135.62,251.51,97.52
PAR-109,Hyderabad Plant,false,2025-02-20T07:00:00.000Z,411,Correlated_DryerRestriction,Warning,150.0,137.73,258.03,97.82
PAR-110,Pune Facility,false,2025-02-20T18:00:00.000Z,381,Correlated_DryerRestriction,Warning,150.0,138.06,245.85,96.31
PAR-111,Chennai Plant,false,2025-02-21T05:00:00.000Z,496,Correlated_DryerRestriction,Critical,150.0,127.5,285.37,94.53
PAR-112,Hyderabad Plant,false,2025-02-21T16:00:00.000Z,458,Correlated_DryerRestriction,Critical,150.0,127.5,282.77,93.3
PAR-113,Pune Facility,false,2025-02-22T03:00:00.000Z,504,Correlated_DryerRestriction,Critical,150.0,129.16,274.72,95.77
PAR-114,Chennai Plant,false,2025-02-22T14:00:00.000Z,500,Correlated_DryerRestriction,Critical,150.0,127.5,281.65,95.84
PAR-115,Hyderabad Plant,false,2025-02-23T01:00:00.000Z,387,Temperature_HeaterFault,Critical,150.0,129.17,249.32,96.51
PAR-116,Pune Facility,false,2025-02-23T12:00:00.000Z,368,Temperature_HeatExchangerFouling,Critical,150.0,133.54,251.97,96.52
PAR-117,Chennai Plant,false,2025-02-23T23:00:00.000Z,388,Pressure_DamperSticking,Critical,150.0,135.26,249.71,97.72
PAR-118,Hyderabad Plant,false,2025-02-24T10:00:00.000Z,382,FlowRate_FanFault,Critical,150.0,132.31,251.49,96.52
PAR-119,Pune Facility,false,2025-02-24T21:00:00.000Z,362,Agitator_VfdLock,Critical,150.0,150.0,240.21,100.27
