batch_id,elapsed_minutes,temperature,process_pressure,flow_rate,agitator_rpm
PAR-GOLDEN,62,32.1,1.01,0,22
PAR-GOLDEN,63,32.3,1.01,0,22
PAR-GOLDEN,64,32.5,1.01,0,22
PAR-GOLDEN,65,32.6,1.01,0,22
PAR-GOLDEN,66,32.8,1.01,0,22
PAR-GOLDEN,67,32.9,1.01,0,22
PAR-GOLDEN,68,33.2,1.01,0,22
PAR-GOLDEN,69,33.3,1.01,0,22
PAR-GOLDEN,70,33.4,1.01,0,22
PAR-GOLDEN,71,33.5,1.01,0,21
PAR-GOLDEN,72,33.5,1.01,0,18
PAR-GOLDEN,73,33.6,1.01,0,16
PAR-GOLDEN,74,33.6,1.01,0,12
PAR-GOLDEN,75,33.7,1.01,0,9
PAR-GOLDEN,76,33.7,1.01,0,6
PAR-GOLDEN,77,33.8,1.01,0,4
PAR-GOLDEN,78,33.8,1.01,0,3
PAR-GOLDEN,79,33.8,1.01,0,2
PAR-GOLDEN,80,33.9,1.01,0,1
PAR-GOLDEN,81,34,1.01,0,1
PAR-GOLDEN,82,34,1.01,0,1
PAR-GOLDEN,83,33.9,1.01,0,0
PAR-GOLDEN,84,34,1.01,0,0
PAR-GOLDEN,85,33.9,1.01,0,0
PAR-GOLDEN,86,34,1.01,0,0
PAR-GOLDEN,87,34,1.01,1.5,0
PAR-GOLDEN,88,34.2,1.02,3.9,0
PAR-GOLDEN,89,34.5,1.03,7.2,0
PAR-GOLDEN,90,34.9,1.03,11.5,0
PAR-GOLDEN,91,35.3,1.05,16.1,0
PAR-GOLDEN,92,35.7,1.06,21.3,0
PAR-GOLDEN,93,36.3,1.08,26.6,0
PAR-GOLDEN,94,36.9,1.09,30.9,0
PAR-GOLDEN,95,37.6,1.11,34.4,0
PAR-GOLDEN,96,38.2,1.13,37.2,0
PAR-GOLDEN,97,38.9,1.14,39.5,0
PAR-GOLDEN,98,39.6,1.15,41.3,0
PAR-GOLDEN,99,40.3,1.16,42.7,0
PAR-GOLDEN,100,41,1.17,43.9,0
PAR-GOLDEN,101,41.7,1.18,44.9,0
PAR-GOLDEN,102,42.4,1.18,45.6,0
PAR-GOLDEN,103,43.1,1.19,46.1,0
PAR-GOLDEN,104,43.9,1.19,46.6,0
PAR-GOLDEN,105,44.6,1.19,47,0
PAR-GOLDEN,106,45.3,1.2,47.4,0
PAR-GOLDEN,107,46,1.2,47.6,0
PAR-GOLDEN,108,46.7,1.2,47.8,0
PAR-GOLDEN,109,47.5,1.2,48,0
PAR-GOLDEN,110,48.3,1.2,48.2,0
PAR-GOLDEN,111,49,1.2,48.3,0
PAR-GOLDEN,112,49.8,1.2,48.4,0
PAR-GOLDEN,113,50.5,1.21,48.5,0
PAR-GOLDEN,114,51.3,1.2,48.5,0
PAR-GOLDEN,115,52.1,1.2,48.6,0
PAR-GOLDEN,116,52.8,1.2,48.5,0
PAR-GOLDEN,117,53.6,1.2,48.5,0
PAR-GOLDEN,118,54.4,1.2,48.5,0
PAR-GOLDEN,119,55.1,1.2,48.4,0
PAR-GOLDEN,120,55.8,1.2,48.4,0
PAR-GOLDEN,121,56.6,1.2,48.5,0
PAR-GOLDEN,122,57.3,1.2,48.4,0
PAR-GOLDEN,123,58.1,1.2,48.5,0
PAR-GOLDEN,124,58.8,1.2,48.4,0
PAR-GOLDEN,125,59.6,1.2,48.6,0
PAR-GOLDEN,126,60.4,1.2,48.7,0
PAR-GOLDEN,127,61.1,1.2,48.7,0
PAR-GOLDEN,128,61.6,1.2,48.7,0
PAR-GOLDEN,129,62.1,1.2,48.8,0
PAR-GOLDEN,130,62.5,1.2,48.7,0
PAR-GOLDEN,131,62.9,1.2,48.9,0
PAR-GOLDEN,132,63.2,1.2,48.8,0
PAR-GOLDEN,133,63.4,1.21,48.8,0
PAR-GOLDEN,134,63.6,1.2,48.8,0
PAR-GOLDEN,135,63.7,1.2,48.7,0
PAR-GOLDEN,136,63.9,1.21,48.7,0
PAR-GOLDEN,137,64.1,1.2,48.8,0
PAR-GOLDEN,138,64.1,1.2,48.8,0
PAR-GOLDEN,139,64.2,1.21,48.8,0
PAR-GOLDEN,140,64.2,1.2,48.8,0
PAR-GOLDEN,141,64.3,1.2,48.7,0
PAR-GOLDEN,142,64.3,1.2,48.7,0
PAR-GOLDEN,143,64.3,1.2,48.6,0
PAR-GOLDEN,144,64.3,1.2,48.6,0
PAR-GOLDEN,145,64.3,1.2,48.5,0
PAR-GOLDEN,146,64.4,1.19,48.4,0
PAR-GOLDEN,147,64.4,1.19,48.4,0
PAR-GOLDEN,148,64.4,1.19,48.4,0
PAR-GOLDEN,149,64.3,1.19,48.4,0
PAR-GOLDEN,150,64.3,1.19,48.3,0
PAR-GOLDEN,151,64.3,1.19,48.2,0
PAR-GOLDEN,152,64.3,1.19,48.3,0
PAR-GOLDEN,153,64.2,1.19,48.5,0
PAR-GOLDEN,154,64.2,1.19,48.5,0
PAR-GOLDEN,155,64.2,1.19,48.6,0
PAR-GOLDEN,156,64.2,1.19,48.6,0
PAR-GOLDEN,157,64.2,1.2,48.6,0
PAR-GOLDEN,158,64.2,1.2,48.7,0
PAR-GOLDEN,159,64.3,1.2,48.7,0
PAR-GOLDEN,160,64.2,1.2,48.7,0
PAR-GOLDEN,161,64.2,1.2,48.7,0
PAR-GOLDEN,162,64.3,1.19,48.7,0
PAR-GOLDEN,163,64.2,1.19,48.7,0
PAR-GOLDEN,164,64.2,1.19,48.7,0
PAR-GOLDEN,165,64.1,1.2,48.7,0
PAR-GOLDEN,166,64,1.2,48.6,0
PAR-GOLDEN,167,64,1.2,48.5,0
PAR-GOLDEN,168,64,1.2,48.5,0
PAR-GOLDEN,169,64,1.2,48.5,0
PAR-GOLDEN,170,64,1.2,48.5,0
PAR-GOLDEN,171,63.9,1.2,48.4,0
PAR-GOLDEN,172,64,1.2,48.4,0
PAR-GOLDEN,173,64,1.2,48.4,0
PAR-GOLDEN,174,64,1.2,48.4,0
PAR-GOLDEN,175,63.9,1.2,48.3,0
PAR-GOLDEN,176,63.9,1.2,48.4,0
PAR-GOLDEN,177,63.8,1.2,48.5,0
PAR-GOLDEN,178,63.8,1.2,48.4,0
PAR-GOLDEN,179,63.8,1.2,48.6,0
PAR-GOLDEN,180,63.8,1.2,48.5,0
PAR-GOLDEN,181,63.7,1.2,48.6,0
PAR-GOLDEN,182,63.7,1.21,48.5,0
PAR-GOLDEN,183,63.8,1.21,48.6,0
PAR-GOLDEN,184,63.8,1.21,48.6,0
PAR-GOLDEN,185,63.8,1.21,48.6,0
PAR-GOLDEN,186,63.8,1.21,48.6,0
PAR-GOLDEN,187,63.8,1.21,48.5,0
PAR-GOLDEN,188,63.8,1.21,48.6,0
PAR-GOLDEN,189,63.8,1.2,48.7,0
PAR-GOLDEN,190,63.8,1.2,48.7,0
PAR-GOLDEN,191,63.8,1.2,48.6,0
PAR-GOLDEN,192,63.7,1.2,48.7,0
PAR-GOLDEN,193,63.7,1.2,48.6,0
PAR-GOLDEN,194,63.8,1.2,48.5,0
PAR-GOLDEN,195,63.8,1.2,48.5,0
PAR-GOLDEN,196,63.9,1.2,48.6,0
PAR-GOLDEN,197,63.8,1.2,48.6,0
PAR-GOLDEN,198,63.9,1.2,48.6,0
PAR-GOLDEN,199,63.8,1.2,48.5,0
PAR-GOLDEN,200,63.8,1.2,48.4,0
PAR-GOLDEN,201,63.9,1.2,48.4,0
PAR-GOLDEN,202,63.9,1.2,48.4,0
PAR-GOLDEN,203,63.9,1.2,48.5,0
PAR-GOLDEN,204,63.9,1.2,48.5,0
PAR-GOLDEN,205,64,1.2,48.4,0
PAR-GOLDEN,206,64,1.2,48.5,0
PAR-GOLDEN,207,64,1.21,48.4,0
PAR-GOLDEN,208,64,1.21,48.5,0
PAR-GOLDEN,209,64,1.21,48.4,0
PAR-GOLDEN,210,63.9,1.2,48.4,0
PAR-GOLDEN,211,63.9,1.2,48.4,0
PAR-GOLDEN,212,63.9,1.2,48.4,0
PAR-GOLDEN,213,63.9,1.2,48.4,0
PAR-GOLDEN,214,63.9,1.2,48.5,0
PAR-GOLDEN,215,64,1.2,48.5,0
PAR-GOLDEN,216,64,1.21,48.5,0
PAR-GOLDEN,217,64,1.21,48.5,0
PAR-GOLDEN,218,64.1,1.21,48.4,0
PAR-GOLDEN,219,64.1,1.21,48.5,0
PAR-GOLDEN,220,64.2,1.21,48.4,0
PAR-GOLDEN,221,64.2,1.21,48.4,0
PAR-GOLDEN,222,64.2,1.21,48.3,0
PAR-GOLDEN,223,64.2,1.21,48.4,0
PAR-GOLDEN,224,64.2,1.21,48.5,0
PAR-GOLDEN,225,64.3,1.21,48.5,0
PAR-GOLDEN,226,64.4,1.21,48.6,0
PAR-GOLDEN,227,64.4,1.21,48.6,0
PAR-GOLDEN,228,64.4,1.21,48.7,0
PAR-GOLDEN,229,64.4,1.2,48.6,0
PAR-GOLDEN,230,64.4,1.2,48.6,0
PAR-GOLDEN,231,64.4,1.2,48.5,0
PAR-GOLDEN,232,64.4,1.2,48.4,0
PAR-GOLDEN,233,64.4,1.2,48.5,0
PAR-GOLDEN,234,64.4,1.2,48.5,0
PAR-GOLDEN,235,64.5,1.2,48.6,0
PAR-GOLDEN,236,64.6,1.2,48.4,0
PAR-GOLDEN,237,64.6,1.2,48.4,0
PAR-GOLDEN,238,64.6,1.2,48.5,0
PAR-GOLDEN,239,64.5,1.2,48.5,0
PAR-GOLDEN,240,64.6,1.2,48.5,0
PAR-GOLDEN,241,64.7,1.2,48.4,0
PAR-GOLDEN,242,64.7,1.2,48.3,0
PAR-GOLDEN,243,64.8,1.2,48.3,0
PAR-GOLDEN,244,64.8,1.2,48.4,0
PAR-GOLDEN,245,64.8,1.2,48.4,0
PAR-GOLDEN,246,64.8,1.2,48.5,0
PAR-GOLDEN,247,64.9,1.2,48.4,0
PAR-GOLDEN,248,64.8,1.2,48.4,0
PAR-GOLDEN,249,64.8,1.2,48.4,0
PAR-GOLDEN,250,64.9,1.2,48.3,0
PAR-GOLDEN,251,64.9,1.19,48.4,0
PAR-GOLDEN,252,64.9,1.19,48.3,0
PAR-GOLDEN,253,64.9,1.19,48.4,0
PAR-GOLDEN,254,64.9,1.19,48.4,0
PAR-GOLDEN,255,64.9,1.19,48.3,0
PAR-GOLDEN,256,65,1.19,48.2,0
PAR-GOLDEN,257,65,1.2,48.2,0
PAR-GOLDEN,258,65.1,1.19,48.3,0
PAR-GOLDEN,259,65.2,1.19,48.4,0
PAR-GOLDEN,260,65.1,1.2,48.4,0
PAR-GOLDEN,261,65.1,1.2,48.5,0
PAR-GOLDEN,262,65.1,1.2,48.6,0
PAR-GOLDEN,263,65.1,1.2,48.5,0
PAR-GOLDEN,264,65.2,1.2,48.6,0
PAR-GOLDEN,265,65.2,1.2,48.6,0
PAR-GOLDEN,266,65.2,1.2,48.6,0
PAR-GOLDEN,267,65.2,1.2,48.4,0
PAR-GOLDEN,268,65.3,1.2,48.4,0
PAR-GOLDEN,269,65.3,1.2,48.3,0
PAR-GOLDEN,270,65.2,1.2,48.4,0
PAR-GOLDEN,271,65.3,1.2,48.5,0
PAR-GOLDEN,272,65.3,1.2,48.5,0
PAR-GOLDEN,273,65.4,1.2,48.5,0
PAR-GOLDEN,274,65.4,1.2,48.4,0
PAR-GOLDEN,275,65.3,1.2,48.3,0
PAR-GOLDEN,276,65.4,1.2,48.3,0
PAR-GOLDEN,277,65.4,1.19,48.3,0
PAR-GOLDEN,278,65.4,1.19,48.2,0
PAR-GOLDEN,279,65.4,1.19,48.3,0
PAR-GOLDEN,280,65.4,1.2,48.4,0
PAR-GOLDEN,281,65.4,1.2,48.4,0
PAR-GOLDEN,282,65.5,1.2,48.5,0
PAR-GOLDEN,283,65.5,1.21,48.5,0
PAR-GOLDEN,284,65.5,1.21,48.5,0
PAR-GOLDEN,285,65.5,1.21,48.5,0
PAR-GOLDEN,286,65.5,1.21,48.5,0
PAR-GOLDEN,287,65.5,1.2,48.5,0
PAR-GOLDEN,288,65.5,1.2,48.6,0
PAR-GOLDEN,289,65.6,1.2,48.7,0
PAR-GOLDEN,290,65.6,1.2,48.7,0
PAR-GOLDEN,291,65.6,1.2,48.6,0
PAR-GOLDEN,292,65.5,1.2,48.6,0
PAR-GOLDEN,293,65.6,1.2,48.7,0
PAR-GOLDEN,294,65.6,1.2,48.7,0
PAR-GOLDEN,295,65.6,1.2,48.7,0
PAR-GOLDEN,296,65.6,1.21,48.7,0
PAR-GOLDEN,297,65.6,1.21,48.7,0
PAR-GOLDEN,298,65.7,1.21,48.6,0
PAR-GOLDEN,299,65.8,1.21,48.6,0
PAR-GOLDEN,300,65.8,1.21,48.6,0
PAR-GOLDEN,301,65.8,1.2,48.6,0
PAR-GOLDEN,302,65.9,1.2,48.5,0
PAR-GOLDEN,303,65.9,1.2,48.5,0
PAR-GOLDEN,304,66,1.2,48.5,0
PAR-GOLDEN,305,66.1,1.2,48.4,0
PAR-GOLDEN,306,66,1.2,48.3,0
PAR-GOLDEN,307,66.1,1.2,48.3,0
PAR-GOLDEN,308,66.1,1.2,48.4,0
PAR-GOLDEN,309,66.1,1.2,48.3,0
PAR-GOLDEN,310,66.1,1.2,48.3,0
PAR-GOLDEN,311,66.2,1.2,48.4,0
PAR-GOLDEN,312,66.1,1.2,48.5,0
PAR-GOLDEN,313,66.2,1.2,48.5,0
PAR-GOLDEN,314,66.3,1.19,48.5,0
PAR-GOLDEN,315,66.2,1.2,48.5,0
PAR-GOLDEN,316,66.2,1.2,48.5,0
PAR-GOLDEN,317,66.2,1.2,48.4,0
PAR-GOLDEN,318,66.1,1.2,48.5,0
PAR-GOLDEN,319,66.2,1.2,48.5,0
PAR-GOLDEN,320,66.2,1.2,48.5,0
PAR-GOLDEN,321,66.2,1.2,48.5,0
PAR-GOLDEN,322,66.2,1.2,48.5,0
PAR-GOLDEN,323,66.2,1.2,48.5,0
PAR-GOLDEN,324,66.3,1.2,48.5,0
PAR-GOLDEN,325,66.3,1.2,48.4,0
PAR-GOLDEN,326,66.3,1.2,48.4,0
PAR-GOLDEN,327,66.3,1.2,48.3,0
PAR-GOLDEN,328,66.2,1.2,48.4,0
PAR-GOLDEN,329,66.3,1.2,48.4,0
PAR-GOLDEN,330,66.4,1.2,48.3,0
PAR-GOLDEN,331,66.3,1.2,48.2,0
PAR-GOLDEN,332,66.4,1.2,48.2,0
PAR-GOLDEN,333,66.4,1.2,48.3,0
PAR-GOLDEN,334,66.4,1.2,48.3,0
PAR-GOLDEN,335,66.4,1.2,48.4,0
PAR-GOLDEN,336,66.5,1.2,48.5,0
PAR-GOLDEN,337,66.4,1.2,48.5,0
PAR-GOLDEN,338,66.4,1.2,48.6,0
PAR-GOLDEN,339,66.4,1.2,48.7,0
PAR-GOLDEN,340,66.5,1.2,48.6,0
PAR-GOLDEN,341,66.6,1.2,48.6,0
PAR-GOLDEN,342,66.6,1.2,48.7,0
PAR-GOLDEN,343,66.6,1.2,48.7,0
PAR-GOLDEN,344,66.7,1.2,48.7,0
PAR-GOLDEN,345,66.7,1.2,48.8,0
PAR-GOLDEN,346,66.7,1.2,48.7,0
PAR-GOLDEN,347,66.8,1.2,48.7,0
PAR-GOLDEN,348,66.8,1.2,48.7,0
PAR-GOLDEN,349,66.8,1.2,48.6,0
PAR-GOLDEN,350,66.7,1.2,48.6,0
PAR-GOLDEN,351,66.7,1.2,48.6,0
PAR-GOLDEN,352,66.5,1.2,47.3,0
PAR-GOLDEN,353,66.4,1.19,45.2,0
PAR-GOLDEN,354,66,1.19,42.2,0
PAR-GOLDEN,355,65.7,1.18,38.7,0
PAR-GOLDEN,356,65.3,1.17,34.7,0
PAR-GOLDEN,357,64.8,1.16,30.3,0
PAR-GOLDEN,358,64.3,1.15,25.4,0
PAR-GOLDEN,359,63.7,1.14,20.5,0
PAR-GOLDEN,360,63.1,1.13,16.5,0
PAR-GOLDEN,361,62.5,1.12,13.1,0
PAR-GOLDEN,362,61.8,1.1,10.5,0
PAR-GOLDEN,363,61.2,1.09,8.5,0
PAR-GOLDEN,364,60.6,1.08,6.8,0
PAR-GOLDEN,365,59.9,1.07,5.6,0
PAR-GOLDEN,366,59.2,1.05,4.4,0
PAR-GOLDEN,367,58.5,1.04,3.5,0
PAR-GOLDEN,368,57.7,1.03,2.8,0
PAR-GOLDEN,369,57,1.02,2.3,0
PAR-GOLDEN,370,56.3,1.02,1.8,0
PAR-GOLDEN,371,55.5,1.02,1.4,0
PAR-GOLDEN,372,54.6,1.01,1.1,0
PAR-GOLDEN,373,53.9,1.01,0.9,0
PAR-GOLDEN,374,53.2,1.01,0.8,0
PAR-GOLDEN,375,52.5,1.01,0.8,0
PAR-GOLDEN,376,51.7,1.01,0.6,0
PAR-GOLDEN,377,50.9,1.01,0.5,0
PAR-GOLDEN,378,50.2,1.01,0.4,0
PAR-GOLDEN,379,49.4,1.01,0.4,0
PAR-GOLDEN,380,48.6,1.01,0.4,0
PAR-GOLDEN,381,47.9,1,0.4,0
PAR-GOLDEN,382,47.1,1,0.3,0
PAR-GOLDEN,383,46.3,1,0.3,0
PAR-001,0,22.9,1.01,0,0
PAR-001,1,22.9,1.01,0,0
PAR-001,2,23.1,1.01,0,0
PAR-001,3,22.9,1.01,0,0
PAR-001,4,22.7,1.01,0,0
PAR-001,5,22.7,1.01,0,0
PAR-001,6,22.7,1.01,0.1,0
PAR-001,7,22.7,1.01,0,0
PAR-001,8,22.6,1.01,0,0
PAR-001,9,22.6,1.01,0,0
PAR-001,10,22.6,1.01,0,0
PAR-001,11,22.6,1.01,0,0
PAR-001,12,22.9,1.01,0,0
PAR-001,13,23.1,1.01,0,0
PAR-001,14,22.9,1.01,0,0
PAR-001,15,23.2,1.01,0,0
PAR-001,16,23.2,1.01,0,0
PAR-001,17,22.7,1.01,0,0
PAR-001,18,22.8,1.01,0,0
PAR-001,19,22.6,1.01,0,0
PAR-001,20,23.1,1.01,0,0
PAR-001,21,23.5,1.01,0,0
PAR-001,22,23.3,1.01,0,0
PAR-001,23,23.2,1.01,0,0
PAR-001,24,23,1.01,0,0
PAR-001,25,22.8,1.01,0,0
PAR-001,26,23,1.01,0,0
PAR-001,27,23.5,1.01,0,1
PAR-001,28,23.4,1.01,0,3
PAR-001,29,23,1.01,0,5
PAR-001,30,23.8,1.01,0.1,8
PAR-001,31,24.3,1.01,0,11
PAR-001,32,24.3,1.01,0,13
PAR-001,33,24.6,1.01,0,14
PAR-001,34,24.9,1.01,0,16
PAR-001,35,24.5,1.01,0,17
PAR-001,36,25.4,1.01,0,17
PAR-001,37,25.6,1.01,0,18
PAR-001,38,25.6,1.01,0,18
PAR-001,39,26.1,1.01,0,18
PAR-001,40,26.2,1.01,0,18
PAR-001,41,26.2,1.01,0,18
PAR-001,42,26.5,1.01,0,18
PAR-001,43,26.6,1.01,0,18
PAR-001,44,27.1,1.01,0,18
PAR-001,45,27.6,1.01,0,18
PAR-001,46,27.8,1.01,0,18
PAR-001,47,28.2,1.01,0,18
PAR-001,48,28.4,1.01,0,18
PAR-001,49,28.2,1.01,0,18
PAR-001,50,28.7,1.01,0,19
PAR-001,51,28.7,1.01,0,20
PAR-001,52,28.5,1.01,0,21
PAR-001,53,28.9,1.01,0,21
PAR-001,54,29.1,1.01,0,21
PAR-001,55,29.3,1.01,0,21
PAR-001,56,29.3,1.01,0,21
PAR-001,57,29.1,1.01,0,22
PAR-001,58,30.1,1.01,0,22
PAR-001,59,30.1,1.01,0,22
PAR-001,60,30.6,1.01,0,22
PAR-001,61,30.9,1.01,0,22
PAR-001,62,31.1,1.01,0,22
PAR-001,63,31.6,1.01,0,22
PAR-001,64,32.1,1.01,0,22
PAR-001,65,32.1,1.01,0,22
PAR-001,66,32.1,1.01,0,22
PAR-001,67,32.6,1.01,0,22
PAR-001,68,32.5,1.01,0,22
PAR-001,69,32.9,1.01,0,22
PAR-001,70,33.4,1.01,0,22
PAR-001,71,34.1,1.01,0,22
PAR-001,72,34.4,1.01,0,21
PAR-001,73,34.3,1.01,0,18
PAR-001,74,33.9,1.01,0,16
PAR-001,75,33.8,1.01,0,12
PAR-001,76,34.1,1.01,0,9
PAR-001,77,34,1.01,0,6
PAR-001,78,33.6,1.01,0,4
PAR-001,79,33.8,1.01,0,3
PAR-001,80,34,1.01,0,2
PAR-001,81,34,1.01,0,1
PAR-001,82,34,1.01,0,1
PAR-001,83,34,1.01,0,1
PAR-001,84,33.7,1.01,0,1
PAR-001,85,34,1.01,0,0
PAR-001,86,34.2,1.01,0,0
PAR-001,87,34.4,1.01,0,0
PAR-001,88,33.8,1.01,1.1,0
PAR-001,89,33.6,1.01,2.5,0
PAR-001,90,33.7,1.03,5.8,0
PAR-001,91,34.4,1.03,10.8,0
PAR-001,92,35,1.05,15.1,0
PAR-001,93,35.7,1.07,20.2,0
PAR-001,94,35.9,1.1,25.7,0
PAR-001,95,36.3,1.14,31.3,0
PAR-001,96,37.2,1.15,35.3,0
PAR-001,97,37.6,1.16,37.9,0
PAR-001,98,38.5,1.16,40.1,0
PAR-001,99,39.5,1.19,42.4,0
PAR-001,100,40.2,1.18,44.1,0
PAR-001,101,40.7,1.21,45.4,0
PAR-001,102,41.6,1.19,45.9,0
PAR-001,103,42.2,1.18,46.6,0
PAR-001,104,42.9,1.19,46.5,0
PAR-001,105,44,1.19,46.5,0
PAR-001,106,44.6,1.19,47.2,0
PAR-001,107,45.6,1.21,47.5,0
PAR-001,108,46,1.21,48.4,0
PAR-001,109,46.6,1.2,48.5,0
PAR-001,110,47.9,1.21,48.6,0
PAR-001,111,48.9,1.22,49.1,0
PAR-001,112,49.7,1.2,48.6,0
PAR-001,113,50.3,1.21,47.9,0
PAR-001,114,51.1,1.21,48.1,0
PAR-001,115,52,1.22,48,0
PAR-001,116,52.6,1.22,48.2,0
PAR-001,117,53.3,1.23,48.1,0
PAR-001,118,54.2,1.24,47.3,0
PAR-001,119,54.5,1.23,47.7,0
PAR-001,120,54.9,1.23,47.9,0
PAR-001,121,56.3,1.21,48.2,0
PAR-001,122,57.3,1.21,49.3,0
PAR-001,123,58.1,1.2,49.5,0
PAR-001,124,58.4,1.21,49.2,0
PAR-001,125,58.8,1.21,49.8,0
PAR-001,126,59.3,1.23,49.2,0
PAR-001,127,60.2,1.23,49.1,0
PAR-001,128,60.5,1.22,49.4,0
PAR-001,129,61.4,1.22,50.1,0
PAR-001,130,62,1.2,49.7,0
PAR-001,131,62.4,1.22,50.4,0
PAR-001,132,63.1,1.22,50,0
PAR-001,133,63.3,1.22,50.2,0
PAR-001,134,63,1.22,50.3,0
PAR-001,135,63.3,1.2,50.6,0
PAR-001,136,63.2,1.2,50.2,0
PAR-001,137,63,1.19,50.3,0
PAR-001,138,63.3,1.2,49.8,0
PAR-001,139,63.4,1.2,50.1,0
PAR-001,140,63.7,1.21,49.6,0
PAR-001,141,64.4,1.2,49,0
PAR-001,142,64.3,1.2,48.3,0
PAR-001,143,64.4,1.21,48.2,0
PAR-001,144,64.4,1.22,49.1,0
PAR-001,145,64.1,1.23,48.4,0
PAR-001,146,63.8,1.23,48.9,0
PAR-001,147,63.9,1.24,49.4,0
PAR-001,148,63.7,1.24,50.3,0
PAR-001,149,64,1.26,50.6,0
PAR-001,150,63.7,1.25,50,0
PAR-001,151,63.6,1.24,50.2,0
PAR-001,152,64,1.25,49.4,0
PAR-001,153,63.8,1.24,49,0
PAR-001,154,63.5,1.24,48.9,0
PAR-001,155,63.7,1.23,48.4,0
PAR-001,156,63.7,1.22,48.5,0
PAR-001,157,63.5,1.21,49.1,0
PAR-001,158,63.6,1.2,48.8,0
PAR-001,159,63.8,1.2,48.8,0
PAR-001,160,64.3,1.19,48.7,0
PAR-001,161,64.5,1.19,47.6,0
PAR-001,162,64.8,1.18,47.2,0
PAR-001,163,64.9,1.17,46.7,0
PAR-001,164,65,1.17,47.1,0
PAR-001,165,64.6,1.16,46.8,0
PAR-001,166,64.3,1.15,46.6,0
PAR-001,167,64.6,1.15,47,0
PAR-001,168,64.2,1.15,46.7,0
PAR-001,169,63.9,1.17,47.1,0
PAR-001,170,64.1,1.16,48.4,0
PAR-001,171,63.9,1.19,48.2,0
PAR-001,172,63.9,1.18,48.1,0
PAR-001,173,64,1.2,47.9,0
PAR-001,174,63.6,1.2,48.3,0
PAR-001,175,64.1,1.19,48.5,0
PAR-001,176,63.8,1.18,48.6,0
PAR-001,177,63.7,1.2,48.4,0
PAR-001,178,63.8,1.22,47.6,0
PAR-001,179,63.7,1.2,47.7,0
PAR-001,180,63.9,1.2,46.8,0
PAR-001,181,64,1.19,46.9,0
PAR-001,182,63.9,1.2,46.5,0
PAR-001,183,63.9,1.21,47.4,0
